,Index,Symbolic With Steps,Symbolic Without Steps,Symbolic With Intermediate Variables,Numerical With Steps,Numerical Without Steps,Numerical With Intermediate Variables,Symbolic Answer,Numerical Answer,Numerical Equation
0,218,"There are a total of x slices. 
That means that if we divide the x slices into w pizzas, each pizza will have the same number of slices. 
That number of slices is the answer to the question.",There are x/w slices in each pizza.,"There are w pizzas. 
Each pizza has the same number of slices. 
There are a total of x slices. 

We need to find out how many slices are there in each pizza. 

This can be represented as follows: 

w pizzas 
x slices 
---- 
y slices in each pizza 

We know that there are w pizzas and that there are a total of x slices. 

This means that the number of slices in each pizza is equal to the total number of slices divided by the number of pizzas. 

y = x/w 

y is the number of slices in each pizza.","There are a total of 14 slices. 

We know that each pizza has the same number of slices. 

That means that if we divide 14 by 7, we will know how many slices are in each pizza. 

14 divided by 7 equals 2. 

That means that each pizza has 2 slices.", There are 2 slices in each pizza.,"There are 7 pizzas. So, we have 7x slices in total. 
Each pizza has the same number of slices, so we can write: 
7x=y⋅7
y is the number of slices in each pizza. 
We know that there are 14 slices in total. So: 
7x=14
y=2

There are 2 slices in each pizza.",( x / w ),2,( 14.0 / 7.0 )
1,41,"Danny found w wrappers and x bottle caps at the park. 

This means that the number of bottle caps he found, x, is w more than the number of wrappers he found, w. 

Now he has y bottle caps and z wrappers in his collection. 

This means that the number of bottle caps he has in his collection, y, is z more than the number of wrappers he has in his collection, z. 

Now we need to compare x to y and w to z. 

x is w more than y and w is z more than z. 

This means that x is z more than y. 

Therefore, Danny found z more bottle caps than wrappers at the park.","Danny found w wrappers and x bottle caps at the park. Now he has y bottle caps and z wrappers in his collection.

Danny found x - y more bottle caps than wrappers at the park.","Let's say Danny found b bottle caps and w wrappers at the park. 

Now he has y bottle caps and z wrappers in his collection. 

We know that:

y = x + b

z = w + b

We need to find b. 

We can do that by subtracting x from both sides of the first equation:

y - x = b

Now we can substitute y - x for b in the second equation:

z = w + (y - x)

We can simplify the equation:

z - y = w - x

We know that z - y = wrappers - bottle caps. 

Therefore:

wrappers - bottle caps = w - x

We need to find w - x. 

We can do that by subtracting w from both sides of the equation:

wrappers - w = - x

We can simplify the equation:

wrappers - w - wrappers = - x - wrappers

We can simplify the equation further:

- w = - x - wrappers

We can add w to both sides of the equation","Danny found 46 wrappers and 50 bottle caps at the park. 

Then, he had 21 bottle caps and 52 wrappers in his collection. 

We want to know how many more bottle caps than wrappers Danny found at the park. 

We can find this out by subtracting the number of wrappers in his collection (52) from the number of wrappers he found at the park (46). Then, we can subtract the number of bottle caps in his collection (21) from the number of bottle caps he found at the park (50). 

This gives us the equation: 

(46 - 52) + (50 - 21) = ?

We can simplify this equation to: 

(-6) + (29) = ?

The answer is 23.", Danny found 4 more bottle caps than wrappers at the park.,"Let's say that Danny found x bottle caps and y wrappers at the park. 

Now he has 21 bottle caps and 52 wrappers in his collection.

We can write this information as follows:

x + 21 = y + 52

x - y = 31

Danny found 31 more bottle caps than wrappers at the park.",( x - w ),4,( 50.0 - 46.0 )
2,910,"Step 1: How many pieces of gum does Robin have in total? 

We know that Robin has w packages of gum and x packages of candy. There are y pieces in each package. 

So, we can say that Robin has w*y packages of gum and x*y packages of candy. 

Step 2: How many pieces of candy does Robin have in total? 

We know that Robin has w packages of gum and x packages of candy. There are y pieces in each package. 

So, we can say that Robin has w*y packages of gum and x*y packages of candy. 

Step 3: How many pieces of gum does Robin have in total? 

We know that Robin has w packages of gum and x packages of candy. There are y pieces in each package. 

So, we can say that Robin has w*y packages of gum and x*y packages of candy. 

Therefore, Robin has w*y pieces of gum.", w*y,"Let's denote the number of pieces of gum as G. Then we know that:

G = w*y

where w is the number of packages of gum and y is the number of pieces in each package.","There are 4 pieces in each package of gum. 
There are 28 packages of gum. 

So, we can multiply 4 by 28 to find out how many pieces of gum Robin has. 

4 x 28 = 112

Robin has 112 pieces of gum.",Robin has 112 pieces of gum.,"There are 4 pieces in each package of gum. So, if we multiply the number of packages of gum by 4, we will get the total number of pieces of gum. 

There are 28 packages of gum. So, if we multiply 28 by 4, we will get the total number of pieces of gum. 

28 * 4 = 112",( w * y ),112,( 28.0 * 4.0 )
3,988,"In one game, Melissa would score w + x points. 
In two games, Melissa would score 2(w + x) points. 
In three games, Melissa would score 3(w + x) points. 

In general, in y games, Melissa would score y(w + x) points.",Melissa scored w*y + x*y points in y games.,"Let's denote the number of points Melissa scored in one game as P. Then we have:

P = w + x

Now we need to calculate the number of points she scored in y games. This is equal to y multiplied by P:

yP = y(w + x)

We can further simplify this by multiplying out the brackets:

yP = yw + yx","In one game, Melissa scored 109 points plus 82 bonus points, for a total of 191 points. 

In 79 games, Melissa would score 191 points 79 times, for a total of 15,109 points.","Melissa scored 109 points in each game. She also got 82 bonus points in each game. In total, she scored 8,691 points in 79 games.","Let's denote the number of points Melissa scored in one game as `P`. Then we have:

`P = 109 + 82 = 191`

Now we need to calculate the number of points she scored in 79 games. We'll denote this number of points as `S`. Then we have:

`S = P * 79 = 191 * 79 = 14969`",( ( w + x ) * y ),15089,( ( 109.0 + 82.0 ) * 79.0 )
4,867,"There are w groups of bananas. 
Each group has x bananas. 

So if we divide w into x, we will get the size of each group.",There are a total of x bananas in Philip's banana collection. Each group contains w bananas.,"There are w groups of bananas. 
There are x bananas in Philip's banana collection. 

Each group has the same number of bananas. 

Let's denote the number of bananas in each group as y. 

Then, we have the following equation:

y * w = x

y = x / w","There are 196 groups of bananas. 

That means that there are 196 different ways that Philip could have organized his 392 bananas. 

That also means that there are 196 different possible answers to this question. 

Some possible answers are: 

1 group of 392 bananas 
2 groups of 196 bananas 
4 groups of 98 bananas 
8 groups of 49 bananas 
16 groups of 24 bananas 

And so on.",There are 392 bananas in Philip's banana collection. Each group contains 2 bananas.,"There are 196 groups of bananas. 
There are 392 bananas in total. 
Each group has the same number of bananas. 

We can write this as: 

There are 196 groups of bananas. 
There are 392 bananas in total. 
Each group has the same number of bananas. 

We can write this as: 

There are 196 groups of bananas. 
There are 392 bananas in total. 
Each group has the same number of bananas. 

We can write this as: 

There are 196 groups of bananas. 
There are 392 bananas in total. 
Each group has the same number of bananas. 

We can write this as: 

There are 196 groups of bananas. 
There are 392 bananas in total. 
Each group has the same number of bananas. 

We can write this as: 

There are 196 groups of bananas. 
There are 392 bananas in total. 
Each group has the same number of bananas. 

We can write this as: 

There are 196 groups of bananas. 
There are 392 bananas in total. 
Each group",( x / w ),2,( 392.0 / 196.0 )
5,171,"Faye has w pencils. 

She wants to put them into rows, with x pencils in each row. 

How many rows could she make?

Well, she could make w/x rows.",Faye could make rows of pencils as long as she had at least x pencils.,"Let's say that Faye has y pencils in total. 

Then, she can make as many rows as she wants, as long as she has at least x pencils in each row. 

That is, she can make y/x rows. 

However, this is not the answer to the question, because the question asks for the maximum number of rows that she can make. 

This means that we need to round down. 

The answer is (y/x) rounded down.","Faye has 30 pencils. 

She wants to put them into rows with 5 pencils in each row. 

How many rows could she make?

She could make 6 rows.",Faye could make 6 rows with 5 pencils in each row.,"There are 30 pencils. We need to divide them into rows with 5 pencils in each row. 

Let's introduce a variable y that stands for the number of rows. 

We know that there are 5 pencils in each row. So, the total number of pencils is 5y. 

We also know that there are 30 pencils in total. So, 5y=30. 

We can solve this equation for y. We divide both sides by 5. 

y=30/5

y=6

So, Faye can make 6 rows with 5 pencils in each row.",( w / x ),6,( 30.0 / 5.0 )
6,117,"First, we know that some campers went rowing in the morning. This means that not all campers went rowing in the morning, because if all campers went rowing in the morning, then there would be no campers left to go rowing in the afternoon! So, we can write:

Some campers went rowing in the morning. 

This means that the number of campers who went rowing in the morning is less than the total number of campers, or:

The number of campers who went rowing in the morning < the total number of campers

We also know that some more campers went rowing in the afternoon. This means that the number of campers who went rowing in the afternoon is greater than the number of campers who went rowing in the morning, or:

The number of campers who went rowing in the afternoon > the number of campers who went rowing in the morning

We also know that the total number of campers who went rowing that day is x. This means that the number of campers who went rowing in the morning plus the number of campers who went rowing in the afternoon is equal",There is not enough information to answer this question.,"Let's say that w campers went rowing in the morning. 

Some more campers went rowing in the afternoon. 

Let's say that y campers went rowing in the afternoon. 

If a total of x campers went rowing that day, then: 

x = w + y 

y = x - w 

y = w + y - w 

y = w","There were 15 campers rowing in the morning. 

Then, some more campers went rowing in the afternoon. 

We know that a total of 32 campers went rowing that day. 

So, if we subtract the number of campers who went rowing in the morning from the total number of campers who went rowing that day, we will be left with the number of campers who went rowing in the afternoon. 

32 - 15 = 

17",17 campers went rowing in the afternoon.,"Let's say that x campers went rowing in the morning and y campers went rowing in the afternoon. 

Then we know that: 
x + y = 32
x = 15

We can solve this system of equations using substitution: 

y = 32 - 15
y = 17",( x - w ),17,( 32.0 - 15.0 )
7,338,"How many sacks can they harvest in w days? That's w*sacks. 

How many days will it take to harvest x sacks of oranges? That's x/w*days.",It will take x/w days to harvest x sacks of oranges.,"Let's say that w sacks per day is the rate of harvesting. The number of days it will take to harvest x sacks of oranges is denoted by d. 

d = x/w

This equation states that the number of days it will take to harvest x sacks of oranges is equal to x sacks divided by w sacks per day.","The first day, they harvest 8 sacks. 

The second day, they harvest 8 more sacks, for a total of 16 sacks. 

The third day, they harvest 8 more sacks, for a total of 24 sacks. 

It will take 3 days to harvest 24 sacks of oranges.", It will take 3 days to harvest 24 sacks of oranges.,"Let's say that x is the number of days it takes to harvest 24 sacks of oranges. 

We know that: 

8 sacks per day * x days = 24 sacks

8x = 24

x = 3

It will take 3 days to harvest 24 sacks of oranges.",( x / w ),3,( 24.0 / 8.0 )
8,50,"There are w snakes and x alligators in the cage. 

y alligators are hiding. 

That means that there are (x - y) alligators that are not hiding.","There were y + x alligators in the cage, and y of them were hiding. Therefore, there were x alligators that were not hiding.","There are w snakes and x alligators in the cage. 
y alligators are hiding. 

There are (x - y) alligators not hiding.","There are 97 alligators in the cage. 

40 alligators are hiding. 

That means that 97 - 40 = 57 alligators are not hiding.", 57 alligators were not hiding.,"There are $93$ snakes and $97$ alligators in the cage. 

$x$ - the number of alligators hiding. 

$y$ - the number of alligators not hiding. 

Then we have the equation: 

$93 + 97 = 40 + y$

$y = 97 - 40 = 57$

So, $57$ alligators were not hiding.",( x - y ),57,( 97.0 - 40.0 )
9,69,"Olivia spent w dollars at a supermarket. 

That means she had w dollars to spend at the supermarket. 

Now she has x dollars left with her. 

That means she had w + x dollars with her in total.",Olivia had w + x dollars initially.,"Olivia spent w dollars at a supermarket. If she has x dollars left with her How much money did she have initially?

Olivia had y dollars initially.

She spent w dollars at the supermarket, so she has y - w dollars left.

We know that she has x dollars left, so:

y - w = x

y = w + x","Olivia spent 78 dollars at a supermarket. 

That means she had 78 dollars to spend at the supermarket. 

That means she had 78 + 33 = 111 dollars in total.", Olivia had 111 dollars initially.,"Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her How much money did she have initially?

Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her, she had 78 - 33 = 45 dollars initially.",( w + x ),111,( 78.0 + 33.0 )
