,With Steps,Without Steps,Intermediate
0,2,2,2
1,23,4,31
2,112,112,112
3,15109,8691,`14969`
4,196,196,2
5,6,30,6
6,17,17,17
7,3,3,3
8,57,57,$57$
9,111,111,45
10,111,111,45
11,5700,285,5700
12,6,10,4
13,151,100,53
14,2,7,(9x)/11
15,53,53,53
16,522,0,419
17,1,1,55
18,6,6,4
19,550,460,4140
20,13,13,13
21,308,308,308
22,52,52,52
23,-18,94,188
24,298,403,-41
25,174,168,174
26,153,"2,124","<blockquote class=""spoiler"">
<p> 2323</p>
</blockquote>"
27,5,5,5
28,29,32,32
29,11,11,3
30,15,15,15
31,17,15,4
32,32,32,40
33,8,10,$\frac{8}{10} \cdot \frac{10}{10} \cdot \frac{100}{100} \cdot \frac{1000}{1000} \cdot \frac{10000}{10000} = \frac{8}{10} \cdot \frac{1}{10} \cdot \frac{1}{100} \cdot \frac{1}{1000} \cdot \frac{1}{10000} = \frac{8}{100000000} = \frac{1}{125000000}$
34,25,41,"$$
16
$$"
35,130,77,14
36,1,2,1
37,215,43,43
38,20,27,28
39,39,39,19.5
40,12,12,36
41,5,120,12.5
42,3,3,3
43,96,96,96
44,123,90,90
45,1,12,1
46,10,10,10
47,154,154,154
48,2,8,2
49,9,2,14
