,Index,With Steps,Without Steps,With Intermediate Variables,Numerical Answer
0,218,There are 2 slices in each pizza.,There are 2 slices in each pizza.,"y slices = (14 slices) / (7 pizzas) 
y slices = 2 slices",2
1,41,4,Danny found 29 more bottle caps than wrappers at the park.,There are 4 more bottle caps than wrappers.,4
2,910,Robin has 112 pieces of gum and 52 pieces of candy.,28*4 = 112,G = w*y = 28*4 = 112,112
3,988,79(109 + 82) = 79(191) = 15129., Melissa scored 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82*79 = 109*79 + 82,Py = 10979 + 8279 = 192158,15089
4,867,"There are 196 groups of bananas. 
Each group has 392 bananas. 

If we divide 196 into 392, we will get the size of each group. 
Each group has 2 bananas.",There are a total of 392 bananas in Philip's banana collection. Each group contains 196 bananas.,y = x / w = 392 / 196 = 2,2
5,171,30/5 = 6 rows.,Faye could make 6 rows of 5 pencils each.,(30/5) rounded down = 6,6
6,117,The number of campers who went rowing in the afternoon = 32 - 15 = 17,17 campers went rowing in the afternoon.,"y = w 

y = 15",17
7,338,"24/8*days = 3*days

It will take 3 days to harvest 24 sacks of oranges.",It will take 3 days to harvest 24 sacks of oranges.,"d = x/w
d = 24/8
d = 3",3
8,50,There are (97 - 40) = 57 alligators that are not hiding.,"There were 97 + 40 alligators in the cage, and 97 of them were hiding. Therefore, there were 40 alligators that were not hiding.",There are 97 alligators that are not hiding.,57
9,69,Olivia had w + x = 78 + 33 = 111 dollars with her in total.,Olivia had 78 + 33 = 111 dollars initially.,y = w + x = 78 + 33 = 111,111
10,69,Olivia had w + x = 78 + 33 = 111 dollars with her in total.,Olivia had 78 + 33 = 111 dollars initially.,y = w + x = 78 + 33 = 111,111
11,502,19*15*20 = 5700 people can ride y Ferris wheels at the same time.,"19*15*20 = 5,700 people",19*15*20 = 5700,5700
12,870,Jill has 8 peaches.,Jill has 2 peaches.,Jill has 18 + 8 = 26 peaches.,10
13,913,2(51) - 49 = 102 - 49 = 53,Zachary and David did a total of 100 push-ups.,2w - x = 2(51) - 49 = 102 - 49 = 53,53
