,Index,With Steps,Without Steps,With Intermediate Variables,Numerical Answer
0,288,8 - 6 = 2,2,2,2
1,821,Fred earned 90 dollars over the weekend.,Fred earned 90 dollars over the weekend.,Fred earned 90 dollars over the weekend.,90
2,69,Olivia had 78 + 33 = 111 dollars initially.,Olivia had 111 dollars initially.,Olivia had w + x = 78 + 33 = 111 dollars initially.,111
3,74,There are a total of 569 students.,There were 569 students who suggested adding bacon to the menu.,"There are w + x = 569 students in total. 

There are w students who suggested adding mashed potatoes as well as bacon. 

There are x students who suggested adding only bacon to the menu. 

Therefore, the number of students who suggested adding bacon is w + x = 569.",569
4,750,Jessie weighed 192 kg before starting to jog.,"Before starting to jog, Jessie weighed 192 kilograms.","Before starting to jog, Jessie weighed (x + w) kilograms.",192
5,34,Jack received 3 emails in the afternoon.,Jack received 3 emails in the afternoon.,3,1
6,152,10 * 45 = 450,450 seeds,10 * 45 = 450,450
7,571,"Paul had 134 books. 

After giving 39 books to his friend, he had 95 books left. 

After selling some books in a garage sale, he had 68 books left. 

So, he sold 95 - 68 = 27 books in the garage sale.",27,The number of books sold in the garage sale is 27.,27
8,866,w - x = 166 - 20 = 146,146 grams,w - x = 166 - 20 = 146,146
9,82,Tiffany found 2 more bags of cans on the next day.,Tiffany found 2 more bags of cans on the next day.,Tiffany found 2 more bags of cans on the next day.,2
10,921,There were 5 more campers rowing in the morning than in the afternoon.,There were 5 more campers rowing in the morning than in the afternoon.,There were 5 more campers rowing in the morning than in the afternoon.,5
11,887,"Paco had 36 cookies. 
He gave 14 cookies to his friend. 
He ate 10 cookies. 
He had 12 cookies left.",Paco had 12 cookies left.,"Paco had w cookies. He gave x cookies to his friend and ate y cookies. 

Paco had 36 cookies. He gave 14 cookies to his friend and ate 10 cookies. 

Paco had 36 - 14 - 10 = 12 cookies left.",12
