,Symbolic With Steps,Symbolic Without Steps,Symbolic With Intermediate Variables,Numerical With Steps,Numerical Without Steps,Numerical With Intermediate Variables,Symbolic Answer,Numerical Answer,Numerical Equation
0,"Each pack of dvds costs w dollars. 

This means that if we have one pack, it will cost w dollars. 

If we have two packs, it will cost 2w dollars. 

If we have three packs, it will cost 3w dollars. 

Now, if we have a discount of x dollars on each pack, this means that for each pack, we will pay w - x dollars. 

So if we have one pack, we will pay w - x dollars. 

If we have two packs, we will pay 2(w - x) dollars. 

If we have three packs, we will pay 3(w - x) dollars. 

I hope this helps!",w - x,"If we have one pack, we should pay w - x dollars. So, if we have n packs, we should pay n(w - x) dollars.","A discount of 25 dollars on each pack would mean that the final cost of each pack would be reduced by 25 dollars. 

So, if each pack costs 76 dollars, then with a discount of 25 dollars on each pack, the final cost of each pack would be 51 dollars.",Each pack of dvds costs 51 dollars.,"First, let's introduce a variable for the cost of one DVD. Then, we can introduce a variable for the number of DVDs in a pack. Finally, we can introduce a variable for the total cost of a pack. 

Now we have all the information we need to write our equations. Let's start with the equation that states the relationship between the cost of a DVD and the total cost of a pack:

cost of DVD * number of DVDs in pack = total cost of pack

We also know that there is a 25 dollar discount on each pack, so we can write that as: 

total cost of pack - 25 = 76

Now we can solve for the total cost of the pack:

total cost of pack = 101

Now we can solve for the cost of one DVD: 

cost of DVD = total cost of pack / number of DVDs in pack

cost of DVD = 101 / number of DVDs in pack

If we plug in the values we know, we get: 

cost of DVD = 101 / 3

cost of DVD = 33.67

So each DVD costs 33.67 dollars.",( w - x ),51,( 76.0 - 25.0 )
1,"Dan had w left with him after he bought a candy bar. 

This means that at some point, he had w + x. 

Then he bought a candy bar, which means that he had to spend some money on the candy bar. 

Therefore, the candy bar cost him (w + x) - w, or x.",The candy bar cost $x - $w.,"$$w = x - c$$
$$x = w + c$$
$$ c = x - w$$","First, we know that Dan has $3 left. This means that whatever he spent before must have totaled to $4 - $3, or $1. 

We also know that he started with $4. So the candy bar must have cost $1.",The candy bar cost $1.,"$$
\begin{array}{l|l|l}
\text{Step} & \text{Condition} & \text{Calculation} \\
\hline
1 & \text{ } & \text{ } \\
2 & \text{ } & \text{ } \\
3 & \text{ } & \text{ } \\
4 & \text{ } & \text{ } \\
5 & \text{ } & \text{ } \\
\end{array}
$$

A: The candy bar cost $1$.",( x - w ),1,( 4.0 - 3.0 )
2,"Paco had w salty cookies and x sweet cookies. This means that the total number of cookies Paco had is w + x. 

Paco ate y sweet cookies and z salty cookies. This means that the total number of cookies Paco ate is y + z. 

Therefore, the number of salty cookies Paco had left is w - z.","Paco had w salty cookies and x sweet cookies. He ate y sweet cookies and z salty cookies. So, w - z = the number of salty cookies Paco had left.","Paco had w salty cookies and x sweet cookies. He ate y sweet cookies and z salty cookies. How many salty cookies did Paco have left?

Paco had w salty cookies and x sweet cookies. He ate y sweet cookies and z salty cookies. 

w - z = how many salty cookies did Paco have left","We know that Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies, so that means he has 3 sweet cookies left. 

We also know that he ate 9 salty cookies, so that means he has 17 salty cookies left.",Paco had 17 salty cookies left after eating 9 sweet cookies.,"There are 26 salty cookies and 17 sweet cookies, so we can write:

salty = 26
sweet = 17

Paco eats 14 sweet cookies and 9 salty cookies, so we can write:

salty' = salty - 9
sweet' = sweet - 14

We are looking for the number of salty cookies left, so we can write:

salty' = ?

salty' = salty - 9
salty' = 26 - 9
salty' = 17",( w - z ),17,( 26.0 - 9.0 )
3,"There were w children riding the bus. 
Some children got off the bus. 
That means that there are now x children left on the bus. 

To find out how many children got off the bus, we need to take w and subtract it from x. 

w - x = how many children got off the bus.", w - x,"The number of children that were riding on the bus is denoted by w. 
The number of children that got off at the bus stop is denoted by x. 
Then, the number of children that were left on the bus is denoted by:
leftOnBus = w - x
We know that the total number of children on the bus does not change. So:
w = leftOnBus + x
We can solve for x:
x = w - leftOnBus","There were 43 children riding on the bus. 

Then, at the bus stop, some children got off the bus. 

This means that the number of children on the bus decreased. 

So, if we start with 43 children, and then some children get off the bus, the final number of children on the bus will be less than 43. 

Now, we are told that there were 21 children left on the bus. 

This means that, if we start with 43 children, and then some children get off the bus, the final number of children on the bus will be 21. 

Therefore, the number of children who got off the bus at the bus stop must be 43 - 21, which is 22.", 22 children,"There were 43 children riding on the bus. Let's call this number $x$. 
At the bus stop some children got off the bus. Let's call this number $y$. 
Then there were 21 children left on the bus. Let's call this number $z$. 
We know that $x = y + z$. 
We are looking for $y$. 
We know that $z = 21$. 
Therefore, $x - z = y$, $x - 21 = y$, $43 - 21 = y$, $22 = y$. 
22 children got off the bus at the bus stop.",( w - x ),22,( 43.0 - 21.0 )
4,"There were w children on the bus at the beginning. 
x children got on the bus, which means that y = w + x children were on the bus in total. 
Now we need to know how many children got off the bus. ",The answer is x - y.,"w - original number of kids on the bus
x - number of kids who got on the bus
y - total number of kids on the bus
z - number of kids who got off the bus

According to the problem statement: 
y = w + x - z
and we need to find 
x - z

y = w + x - z
x - z = y - w","There were 28 children riding on the bus. 

Then, 82 children got on the bus, while some got off the bus. 

This means that the total number of children on the bus at this point was 82 + 28, or 110. 

However, we know that there were only 30 children on the bus in the end. 

This means that 30 - 110 children must have gotten off the bus. 

In other words, 110 - 30, or 80, children must have gotten on the bus. 

Therefore, the answer is 80.", 54 children,"$$
\begin{array}{rcl}
x & = & \textrm{children that got off the bus} \\
y & = & \textrm{children that got on the bus} \\
28 & = & \textrm{initial number of children} \\
30 & = & \textrm{final number of children} \\
82 & = & \textrm{total number of children that got on the bus} \\
\end{array}
$$
So we can write down the equation:
$$
28 + y = 30 + x \Rightarrow y - x = 2.
$$
This equation means that there were 2 more children that got on the bus than those that got off the bus.",( y - w ),2,( 30.0 - 28.0 )
5,"Firstly, we know that Olivia had w dollars in her wallet. 

Secondly, she collected x more dollars from an ATM, so now she has w + x dollars. 

Lastly, she spent some money at the supermarket, so she now has w + x - y dollars left in her wallet. 

We are trying to figure out how much more money she collected at the ATM than she spent at the supermarket, so we want to set up an equation that will give us that answer. 

w + x - y = z 

z = w + x - y 

z = the amount of money left in her wallet 

w = the amount of money she had in her wallet to begin with 

x = the amount of money she collected from the ATM 

y = the amount of money she spent at the supermarket 

Therefore, z - w = the amount of money she collected from the ATM - the amount of money she spent at the supermarket. 

z - w = x - y 

We want to solve for x - y, which is the amount of money she collected from the ATM - the amount of money she spent at the supermarket","She collected more money at the ATM than she spent at the supermarket if:

w + x > x

or

w > 0","Olivia started with w dollars in her wallet. 

x more dollars were collected from an ATM machine. 

This means that Olivia had w + x dollars in her wallet after collecting money from the ATM machine.

After visiting the supermarket, Olivia had x dollars left in her wallet. 

This means that Olivia spent w + x - x = w dollars at the supermarket. 

Therefore, Olivia collected w + x - w = x more dollars at the ATM machine than she spent at the supermarket.","Olivia had 3 dollars in her wallet. 
She went to the ATM and collected 49 more dollars. 
She went to the supermarket and spent some amount of money. 
She now has 49 dollars left. 

So we want to know how much money she spent at the supermarket. 

Olivia had 3 dollars in her wallet to start. 
She collected 49 more dollars from the ATM, so she had 52 dollars in total. 
She spent some amount of money at the supermarket, and now she has 49 dollars left. 

How much money did she spend at the supermarket? 

3 + 49 = 52
52 - 49 = 3

Olivia spent 3 dollars at the supermarket.", She collected 100 dollars at the atm.,"Olivia's wallet: 3 dollars
ATM: 49 dollars
Supermarket: 49 dollars

Olivia's wallet: 3 + 49 = 52 dollars
Supermarket: 52 - 49 = 3 dollars

Olivia collected 49 more dollars at the ATM than she spent at the supermarket.",( x - w ),46,( 49.0 - 3.0 )
6,"Jerry had some action figures on a shelf in his room. Later he added more action figures to the shelf. 

This means that there were more action figures on the shelf after Jerry added more. 

We can say that the final number of action figures is greater than the initial number of action figures. 

We can represent this with the following equation: 

x > y 

This means that the value of x (the final number of action figures) is greater than the value of y (the initial number of action figures).","If Jerry had x action figures on his shelf initially, and then added w more action figures, the total number of action figures on the shelf would be x + w.","1) Let's call the number of action figures Jerry initially had on the shelf $a$.

2) Let's call the number of action figures Jerry added to the shelf $b$.

3) Then, the number of action figures Jerry has on the shelf now, $x$, is equal to:

$$x = a + b$$

4) We are told in the problem that the total number of action figures on Jerry's shelf is now $x$. So:

$$x = a + b$$

5) We are told in the problem that Jerry had some action figures on a shelf in his room initially. So:

$$a > 0$$

6) We are told in the problem that later Jerry added more action figures to the shelf. So:

$$b > 0$$

7) Solving for $a$, we get:

$$a = x - b$$

Thus, the number of action figures Jerry had initially on the shelf is equal to the total number of action figures on his shelf now, $x$, minus the number of action figures Jerry added to the shelf, $b$.","Jerry has some action figures on his shelf. 

That means that there is at least one action figure on the shelf. 

Later he added 7 more action figures to the shelf. 

That means that there are at least 8 action figures on the shelf now. 

But we know that there are 10 action figures on the shelf now, so we can say that there are at least 10 action figures on the shelf. 

That means that Jerry had at least 10 action figures on his shelf initially.", Jerry had 3 action figures on the shelf initially.,"Let's say that Jerry had $x$ action figures on the shelf. Later he added $y$ more, so the total number of action figures is:
$$
x + y = 10 \quad \Rightarrow \quad y = 10 - x
$$
Now we have two equations with two unknowns:
$$
x + y = 10 \quad \Rightarrow \quad y = 10 - x
$$
These equations are called linear equations. The solution of a linear equation is the value of the variable that satisfies the equation. In our case, this is the value of $x$ that satisfies both equations. 
$$
x + y = 10 \quad \Rightarrow \quad y = 10 - x \quad \Rightarrow \quad x + (10 - x) = 10
$$
$$
x + 10 - x = 10
$$
$$
2x = 10
$$
$$
x = 5
$$
Therefore, Jerry initially had $5$ action figures on the shelf. ",( x - w ),3,( 10.0 - 7.0 )
7,"First, Paco had w cookies. 

Then, he gave x cookies to his friend. 

That means that he now has w - x cookies. 

Then, he ate y cookies, which means he now has w - x - y cookies. 

The question is asking how many more cookies he ate than those he gave to his friend. That is the same as asking how many fewer cookies he has now than he gave to his friend. 

So, the answer is x - (w - x - y), which is the same as y - (w - x).",Paco had w cookies. He gave x cookies to his friend and ate y cookies. He ate y-x cookies more than those he gave to his friend.,"Let's say that Paco has w cookies, he gave x cookies to his friend and ate y cookies. Thus, the number of cookies that were left after he gave some to his friend and ate some himself is w - x - y. 

The task is to find out how many more cookiesPacowas left with than his friend. In other words, we need to find out how many more cookies there are in w - x - y than in x. 

This is the same as asking how many more cookies there are in w - y than in x. In other words, we need to solve the equation w - y - x = 0. 

We can do this by solving for w. w = x + y.","Paco had 41 cookies.
He gave 9 cookies to his friend.
He ate 18 cookies.

We want to know how many more cookies Paco ate than he gave his friend. 

We can take away the number of cookies Paco gave his friend from the total number of cookies Paco had. 

41 - 9 = 32

Then we can take away the number of cookies Paco ate from the total number of cookies remaining. 

32 - 18 = 14

Paco ate 14 more cookies than he gave his friend.", He ate 9 more cookies than he gave to his friend.,"Paco had 41 cookies. He gave 9 cookies to his friend. 

This means that he has 41-9=32 cookies left. 

Then he ate 18 cookies. This means that he has 32-18=14 cookies left. 

Now we need to compare the number of cookies he gave to his friend with the number of cookies he ate. 

9<18

This means that he ate more cookies than those he gave to his friend.",( y - x ),9,( 18.0 - 9.0 )
8,"Mary is baking a cake. The recipe calls for w cups of sugar x cups of flour and y cups of salt.

She already put in z cups of flour.

This means that she needs x - z cups of flour to complete the recipe.", w-z cups of flour,"First, we need to know how many cups of flour the recipe calls for in total. We can call this total number of cups of flour F. We know that the recipe calls for x cups of flour and we know that z cups of flour have already been added, so:

F = x + z

Now we need to know how many cups of flour Mary still needs to add. We can call this number f. We know that Mary has already added z cups of flour, so she still needs to add:

f = F - z

f = (x + z) - z

f = x",Mary has put in 6 cups of flour and the recipe calls for 10 cups of flour. This means she needs 4 more cups of flour., She needs to add 4 more cups of flour.,"Let's denote the number of cups of flour Mary needs to add by the variable x. 

We know that Mary has already put in 6 cups of flour. 

This means that the total number of cups of flour in the cake batter is: 

3 cups of sugar + 10 cups of flour + 15 cups of salt + 6 cups of flour = 3 + 10 + 15 + 6 = 34 

We know that the recipe calls for a total of 3 + 10 = 13 cups of flour. 

So we can write: 

3 + 10 + x = 34 

10 + x = 34 

x = 24 

Mary needs to add 24 more cups of flour to the cake batter.",( x - z ),4,( 10.0 - 6.0 )
9,"The waiter has some customers. After w customers left, he still had x customers. How many customers did he have at the start?

The answer is w + x.",The waiter had w + x customers at the start.,"Suppose that y customers left after x customers. Then we have the following equation:

y = w - x

Solve for x:

x = w - y

Now we know that the waiter had w + x customers at the start. Therefore, we can substitute x with w - y:

w + x = w + w - y = 2w - y

We know that y customers left, so:

2w - y = 2w - (w - x) = 2w - w + x = w + x

Therefore, we can conclude that w + x = w + x, which means that x = 0. 

The waiter had w + 0 customers at the start, which means that he had w customers at the start.","The waiter has 9 customers leave, which means he started with 21 customers.",The waiter had 21 customers at the start.,"The waiter has some customers, let's denote it with $C$

After 9 customers left, he still had $12$ customers, so the number of customers he had at the start was $C + 9 = 12$

We know that $C + 9 = 12$, so $C = 3$

The waiter had 3 customers at the start.",( w + x ),21,( 9.0 + 12.0 )
