,Question
0,Each pack of dvds costs x1 dollars. If there is a discount of x2 dollars on each pack how much do you have to pay to buy each pack?
1,Dan had $ x1 left with him after he bought a candy bar. If he had $ x2 at the start how much did the candy bar cost?
2,Paco had x1 salty cookies and x2 sweet cookies. He ate x3 sweet cookies and x4 salty cookies. how many salty cookies did paco have left?
3,x1 children were riding on the bus. At the bus stop some children got off the bus. Then there were x2 children left on the bus. how many children got off the bus at the bus stop?
4,x1 children were riding on the bus. At the bus stop x2 children got on the bus while some got off the bus. Then there were x3 children altogether on the bus. how many more children got on the bus than those that got off?
5,There were x1 dollars in Olivia's wallet. She collected x2 more dollars from an atm. After she visited a supermarket there were x3 dollars left. how much more money did she collect at the atm than she spent at the supermarket?
6,Jerry had some action figures on a shelf in his room. Later he added x1 more action figures to the shelf. If there are a total of x2 action figures on his shelf now how many action figures did he have initially on the shelf?
7,Paco had x1 cookies. He gave x2 cookies to his friend and ate x3 cookies. how many more cookies did he eat than those he gave to his friend?
8,Mary is baking a cake. The recipe calls for x1 cups of sugar x2 cups of flour and x3 cups of salt. She already put in x4 cups of flour. how many more cups of flour does she need to add?
9,A waiter had some customers. After x1 customers left he still had x2 customers. how many customers did he have at the start?
10,x1 birds were sitting on the fence. <x3> more storks and 2 more birds came to join them. how many more storks than birds are sitting on the fencex1 birds were sitting on the fence. <<3>> more storks and 2 more birds came to join them. how many more storks than birds are sitting on the fencex1 birds were sitting on the fence. <<3>> more storks and 2 more birds came to join them. how many more storks than birds are sitting on the fencex1 birds were sitting on the fence. <<3>> more storks and 2 more birds came to join them. how many more storks than birds are sitting on the fencex1 birds were sitting on the fence. <<3>> more storks and 2 more birds came to join them. how many more storks than birds are sitting on the fencex1 birds were sitting on the fence. <<3>> more storks and 2 more birds came to join them. how many more storks than birds are sitting on the fencex1 birds were sitting on the fence. <<3>> more storks and 2 more birds came to join them. how many more storks than birds are sitting on the fencex1 birds were sitting on the fence. <<3>> more storks and 2 more birds came to join them. how many more storks than birds are sitting on the fencex2?
11,They decided to hold the party in their backyard. If they have x1 sets of tables and each set has x2 chairs how many chairs do they have in the backyard?
12,In a school there are x1 more girls than boys. If there are x2 girls how many pupils are there in that school?
13,After resting they decided to go for a swim. The depth of the water is x1 times Dean's height. Dean is x2 feet taller than Ron. If Ron stands at x3 feet how deep was the water?
14,x1 birds were sitting on the fence. x2 more birds and x3 more storks came to join them. how many birds are sitting on the fence?
15,Marco and his dad went strawberry picking. Together they collected strawberries that weighed x1 pounds. On the way back Marco ' dad lost x2 pounds of strawberries. Marco's strawberries now weighed x3 pounds. how much did his dad's strawberries weigh now?
16,In a school there are x1 girls and the rest are boys. If there are x2 more girls than boys how many boys are there in that school?
17,In a school there are x1 girls and x2 boys. x3 more girls and x4 more boys joined the school. how many girls are there in the school now?
18,Danny collects bottle caps and wrappers. He found x1 bottle caps and x2 wrappers at the park. Now he has x3 bottle caps and x4 wrappers in his collection. how many wrappers did danny have at first?
19,Paul got a box of x1 erasers and x2 crayons for his birthday. At the end of the school year he only had x3 crayons left while not having lost a single eraser. how many more crayons than erasers did he have left?
20,Baker made x1 cakes. He sold x2 of them and bought x3 new cakes. how many cakes does baker still have?
21,An industrial machine worked for x1 minutes. It can make x2 shirts a minute. how many shirts did machine make?
22,The bananas in Philip's collection are organized into groups of size x1. If there are a total of x2 bananas in Philip's banana collection how many groups are there?
23,There were some birds sitting on the fence. x1 more birds came to join them. If there are a total of x2 birds on the fence now how many birds had been sitting on the fence at the start?
24,Jerry had x1 action figures on a shelf in his room. Later he added x2 more action figures to the shelf and removed some of the old ones. If there are x3 action figures on his shelf now how many action figures did he remove from the shelf?
25,Danny collects bottle caps and wrappers. He found x1 wrappers and x2 bottle caps at the park. Now he has x3 bottle caps and x4 wrappers in his collection. how many more wrappers than bottle caps did danny find at the park?
26,Because of the decision Sofia asked the students to suggest specific types of food from a total of x1 choices. If x2 students suggested adding mashed potatoes x3 suggested adding bacon to the menu and the rest did not participate how many students participated in the suggestion of new food items?
27,Matthew gave equal numbers of crackers and cakes to his x1 friends. If he had x2 crackers and x3 cakes initially how many crackers and cakes did each person eat?
28,"A grocery store had x1 bottles of regular soda, x2 bottles of diet soda and x3 bottles of lite soda. how many bottles of regular soda and diet soda did they have altogether?"
29,"Dan has $ x1. He bought x2 candy bar for $ x3, each one costing the same amount of money. how much did each candy bar cost?"
30,Tiffany was collecting cans for recycling. On monday she had x1 bags of cans. The next day she found x2 more bags worth of cans. how many more bags did she find on the next day than she had on monday?
31,There were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now x3 roses and x4 orchids in the vase. how many roses did she cut?
32,There are some baskets of peaches. Each basket has x1 red peaches and x2 green peaches. If there are a total of x3 peaches in all baskets how many baskets of peaches are there?
33,There were x1 dollars in Olivia's wallet. She spent x2 dollars at a supermarket. how much money does she have left?
34,"Jack received x1 emails in the morning, x2 emails in the afternoon and some more in the evening. If he received a total of x3 emails in the day how many emails did jack receive in the afternoon?"
35,Dan has $ x1. He bought a candy bar for $ x2. Then his friend have him $ x3 how much money is left?
36,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that x1 visitors came to the Buckingham palace on the previous day. If there were x2 visitors on that day how many visited the buckingham palace within x3 days?"
37,For Gwen's birthday she received x1 dollars from her dad. Her mom gave her x2 more dollars. If she spent x3 dollars. how much more money did she receive from her mom than she did from her dad?
38,There are x1 bananas and x2 oranges in Philip's collection. If the bananas are organized into x3 groups and oranges are organized into x4 groups how big is each group of oranges?
39,There are x1 different books and x2 different movies in the ' crazy silly school ' series. If you read x3 of the movies and watched x4 of the books how many more movies than books have you read?
40,Mary is baking a cake. The recipe calls for x1 cups of flour and <x3> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour how many cups of flour did she put inMary is baking a cake. The recipe calls for x1 cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour how many cups of flour did she put inx2?
41,Danny collects bottle caps and wrappers. He found x1 wrappers and x2 bottle caps at the park. Now he has x3 bottle caps and x4 wrappers in his collection. how many more bottle caps than wrappers did danny find at the park?
42,Luke played x1 rounds of a trivia game. If he gained x2 points in each round how many points did he score in the game?
43,x1 birds and <x3> storks were sitting on the fence. 2 more birds came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more birds came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more birds came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more birds came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more birds came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more birds came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more birds came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more birds came to join them. how many more birds than storks are sitting on the fencex2?
44,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The mouse jumped x2 inches lesser than the frog who jumped x3 inches farther than the grasshopper. how far did the mouse jump?"
45,Zachary did x1 push-ups and x2 crunches in gym class today. David did x3 more push-ups but x4 less crunches than zachary. how many more push-ups than crunches did zachary do?
46,"Jack received x1 emails in the morning, x2 emails in the afternoon and x3 emails in the evening. how many emails did jack receive in the afternoon and evening?"
47,Jerry had x1 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed x2 of the old ones. If there are x3 action figures on his shelf now how many action figures did he add to the shelf?
48,Julia played tag with x1 kids on monday. She played tag with x2 kids on tuesday. She spent a total of x3 hours to play tag on both days. how many kids did she play with altogether?
49,Nell collects cards. She had x1 baseball cards and x2 Ace cards. She gave some of her cards to Jeff and now has x3 baseball cards and Ace cards left. how many more baseball cards than ace cards does nell have?
50,"At the zoo, a cage had x1 snakes and x2 alligators. If x3 alligators were hiding how many alligators were not hiding?"
51,You have read x1 books from the ' crazy silly school ' series. If there are a total of x2 different books in the ' crazy silly school ' series how many more do you still have to read?
52,Emily is making bead necklaces for her x1 friends. She had x2 beads and she was able to make x3 necklaces. how many beads did each necklace need?
53,Frank put x1 pieces of candy in each bag. If he had x2 pieces of candy how many bags would he have?
54,A waiter had x1 customers. After some left he still had x2 customers. Then he got x3 new customers how many customers does he have now?
55,A farmer had x1 tomatoes in his garden. If he picked x2 of them yesterday and x3 today. how many tomatoes did he pick in all?
56,"x1 red peaches, x2 yellow peaches and x3 green peaches are in the basket. how many green and yellow peaches are in the basket?"
57,Winter is almost here and most animals are migrating to warmer countries. There were x1 bird families living near the mountain. If x2 bird families flew away for winter how many more bird families flew away for the winter than those that stayed behind?
58,There were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <x4> orchids and 3 roses in the vase. how many more orchids than roses are there in the vase nowThere were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <<4>> orchids and 3 roses in the vase. how many more orchids than roses are there in the vase nowThere were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <<4>> orchids and 3 roses in the vase. how many more orchids than roses are there in the vase nowThere were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <<4>> orchids and 3 roses in the vase. how many more orchids than roses are there in the vase nowThere were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <<4>> orchids and 3 roses in the vase. how many more orchids than roses are there in the vase nowThere were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <<4>> orchids and 3 roses in the vase. how many more orchids than roses are there in the vase nowThere were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <<4>> orchids and 3 roses in the vase. how many more orchids than roses are there in the vase nowThere were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <<4>> orchids and 3 roses in the vase. how many more orchids than roses are there in the vase nowx3?
59,"After eating a hearty meal they went to see the Buckingham palace. There were x1 paintings in the Buckingham palace. There, Rachel learned that x2 visitors came to the Buckingham palace that day. If there were x3 visitors the previous day how many more visitors visited the buckingham palace on that day than on the previous day?"
60,A waiter had x1 customers. While x2 customers left he got x3 new customers. how many customers does he still have?
61,Emily is making bead necklaces for her x1 friends. She has x2 beads and each necklace takes x3 beads. how many necklaces can emily make?
