,Unnamed: 0.2,Unnamed: 0.1,ID,Body,Question,Equation,Answer,Type,Symbolic Problem,Symbolic Equation,Variables,Numbers
0,0,0,chal-1,Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack,How much do you have to pay to buy each pack?,( 76.0 - 25.0 ),51,Subtraction,Each pack of dvds costs <1> dollars. If there is a discount of <2> dollars on each pack how much do you have to pay to buy each pack?,( <1> - <2> ),"['<1>', '<2>']","['76', '25']"
1,1,1,chal-2,Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start,How much did the candy bar cost?,( 4.0 - 3.0 ),1,Subtraction,Dan had $ <1> left with him after he bought a candy bar. If he had $ <2> at the start how much did the candy bar cost?,( <2> - <1> ),"['<1>', '<2>']","['3', '4']"
2,2,2,chal-3,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies.,How many salty cookies did Paco have left?,( 26.0 - 9.0 ),17,Subtraction,Paco had <1> salty cookies and <2> sweet cookies. He ate <3> sweet cookies and <4> salty cookies. how many salty cookies did paco have left?,( <1> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['26', '17', '14', '9']"
3,3,3,chal-4,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus.,How many children got off the bus at the bus stop?,( 43.0 - 21.0 ),22,Subtraction,<1> children were riding on the bus. At the bus stop some children got off the bus. Then there were <2> children left on the bus. how many children got off the bus at the bus stop?,( <1> - <2> ),"['<1>', '<2>']","['43', '21']"
4,4,4,chal-5,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus.,How many more children got on the bus than those that got off?,( 30.0 - 28.0 ),2,Subtraction,<1> children were riding on the bus. At the bus stop <2> children got on the bus while some got off the bus. Then there were <3> children altogether on the bus. how many more children got on the bus than those that got off?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['28', '82', '30']"
5,5,5,chal-6,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left.,How much more money did she collect at the atm than she spent at the supermarket?,( 49.0 - 3.0 ),46,Subtraction,There were <1> dollars in Olivia's wallet. She collected <2> more dollars from an atm. After she visited a supermarket there were <3> dollars left. how much more money did she collect at the atm than she spent at the supermarket?,( <2> - <1> ),"['<1>', '<2>', '<3>']","['3', '49', '49']"
6,6,6,chal-7,Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now,How many action figures did he have initially on the shelf?,( 10.0 - 7.0 ),3,Subtraction,Jerry had some action figures on a shelf in his room. Later he added <1> more action figures to the shelf. If there are a total of <2> action figures on his shelf now how many action figures did he have initially on the shelf?,( <2> - <1> ),"['<1>', '<2>']","['7', '10']"
7,7,7,chal-8,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies.,How many more cookies did he eat than those he gave to his friend?,( 18.0 - 9.0 ),9,Subtraction,Paco had <1> cookies. He gave <2> cookies to his friend and ate <3> cookies. how many more cookies did he eat than those he gave to his friend?,( <3> - <2> ),"['<1>', '<2>', '<3>']","['41', '9', '18']"
8,8,8,chal-9,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour.,How many more cups of flour does she need to add?,( 10.0 - 6.0 ),4,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of sugar <2> cups of flour and <3> cups of salt. She already put in <4> cups of flour. how many more cups of flour does she need to add?,( <2> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['3', '10', '15', '6']"
9,9,9,chal-10,A waiter had some customers. After 9 customers left he still had 12 customers.,How many customers did he have at the start?,( 9.0 + 12.0 ),21,Addition,A waiter had some customers. After <1> customers left he still had <2> customers. how many customers did he have at the start?,( <1> + <2> ),"['<1>', '<2>']","['9', '12']"
10,10,10,chal-11,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them.,How many more storks than birds are sitting on the fence?,( 6.0 - ( 3.0 + 2.0 ) ),1,Subtraction,<1> birds were sitting on the fence. <<3>> more storks and 2 more birds came to join them. how many more storks than birds are sitting on the fence?,( <<3>- ( <1> + 2.0 ) ),"['<1>', '<2>', '<3>']","['3', '6', '2']"
11,11,11,chal-12,They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs,How many chairs do they have in the backyard?,( 11.0 * 13.0 ),143,Multiplication,They decided to hold the party in their backyard. If they have <1> sets of tables and each set has <2> chairs how many chairs do they have in the backyard?,( <1> * <2> ),"['<1>', '<2>']","['11', '13']"
12,12,12,chal-13,In a school there are 458 more girls than boys. If there are 692 girls,How many pupils are there in that school?,( ( 692.0 + 692.0 ) - 458.0 ),926,Subtraction,In a school there are <1> more girls than boys. If there are <2> girls how many pupils are there in that school?,( ( <2> + 692.0 ) - <1> ),"['<1>', '<2>']","['458', '692']"
13,13,13,chal-14,After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet,How deep was the water?,( ( 4.0 + 13.0 ) * 15.0 ),255,Multiplication,After resting they decided to go for a swim. The depth of the water is <1> times Dean's height. Dean is <2> feet taller than Ron. If Ron stands at <3> feet how deep was the water?,( ( <2> + <3> ) * <1> ),"['<1>', '<2>', '<3>']","['15', '4', '13']"
14,14,14,chal-15,6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them.,How many birds are sitting on the fence?,( 6.0 + 4.0 ),10,Addition,<1> birds were sitting on the fence. <2> more birds and <3> more storks came to join them. how many birds are sitting on the fence?,( <1> + <2> ),"['<1>', '<2>', '<3>']","['6', '4', '8']"
15,15,15,chal-16,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco ' dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds.,How much did his dad's strawberries weigh now?,( ( 36.0 - 12.0 ) - 8.0 ),16,Subtraction,Marco and his dad went strawberry picking. Together they collected strawberries that weighed <1> pounds. On the way back Marco ' dad lost <2> pounds of strawberries. Marco's strawberries now weighed <3> pounds. how much did his dad's strawberries weigh now?,( ( <1> - <3> ) - <2> ),"['<1>', '<2>', '<3>']","['36', '8', '12']"
16,16,16,chal-17,In a school there are 697 girls and the rest are boys. If there are 228 more girls than boys,How many boys are there in that school?,( 697.0 - 228.0 ),469,Subtraction,In a school there are <1> girls and the rest are boys. If there are <2> more girls than boys how many boys are there in that school?,( <1> - <2> ),"['<1>', '<2>']","['697', '228']"
17,17,17,chal-18,In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school.,How many girls are there in the school now?,( 732.0 + 682.0 ),1414,Addition,In a school there are <1> girls and <2> boys. <3> more girls and <4> more boys joined the school. how many girls are there in the school now?,( <1> + <3> ),"['<1>', '<2>', '<3>', '<4>']","['732', '761', '682', '8']"
18,18,18,chal-19,Danny collects bottle caps and wrappers. He found 22 bottle caps and 30 wrappers at the park. Now he has 17 bottle caps and 57 wrappers in his collection.,How many wrappers did danny have at first?,( 57.0 - 30.0 ),27,Subtraction,Danny collects bottle caps and wrappers. He found <1> bottle caps and <2> wrappers at the park. Now he has <3> bottle caps and <4> wrappers in his collection. how many wrappers did danny have at first?,( <4> - <2> ),"['<1>', '<2>', '<3>', '<4>']","['22', '30', '17', '57']"
19,19,19,chal-20,Paul got a box of 457 erasers and 617 crayons for his birthday. At the end of the school year he only had 523 crayons left while not having lost a single eraser.,How many more crayons than erasers did he have left?,( 523.0 - 457.0 ),66,Subtraction,Paul got a box of <1> erasers and <2> crayons for his birthday. At the end of the school year he only had <3> crayons left while not having lost a single eraser. how many more crayons than erasers did he have left?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['457', '617', '523']"
20,20,20,chal-21,Baker made 121 cakes. He sold 105 of them and bought 170 new cakes.,How many cakes does baker still have?,( ( 121.0 - 105.0 ) + 170.0 ),186,Addition,Baker made <1> cakes. He sold <2> of them and bought <3> new cakes. how many cakes does baker still have?,( ( <1> - <2> ) + <3> ),"['<1>', '<2>', '<3>']","['121', '105', '170']"
21,21,21,chal-22,An industrial machine worked for 5 minutes. It can make 4 shirts a minute.,How many shirts did machine make?,( 4.0 * 5.0 ),20,Multiplication,An industrial machine worked for <1> minutes. It can make <2> shirts a minute. how many shirts did machine make?,( <2> * <1> ),"['<1>', '<2>']","['5', '4']"
22,22,22,chal-23,The bananas in Philip's collection are organized into groups of size 18. If there are a total of 180 bananas in Philip's banana collection,How many groups are there?,( 180.0 / 18.0 ),10,Common-Division,The bananas in Philip's collection are organized into groups of size <1>. If there are a total of <2> bananas in Philip's banana collection how many groups are there?,( <1>0 / 18.0 ),"['<1>', '<2>']","['18', '180']"
23,23,23,chal-24,There were some birds sitting on the fence. 4 more birds came to join them. If there are a total of 5 birds on the fence now,How many birds had been sitting on the fence at the start?,( 5.0 - 4.0 ),1,Subtraction,There were some birds sitting on the fence. <1> more birds came to join them. If there are a total of <2> birds on the fence now how many birds had been sitting on the fence at the start?,( <2> - <1> ),"['<1>', '<2>']","['4', '5']"
24,24,24,chal-25,Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf now,How many action figures did he remove from the shelf?,( ( 3.0 + 4.0 ) - 6.0 ),1,Subtraction,Jerry had <1> action figures on a shelf in his room. Later he added <2> more action figures to the shelf and removed some of the old ones. If there are <3> action figures on his shelf now how many action figures did he remove from the shelf?,( ( <1> + <2> ) - <3> ),"['<1>', '<2>', '<3>']","['3', '4', '6']"
25,25,25,chal-26,Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection.,How many more wrappers than bottle caps did danny find at the park?,( 65.0 - 5.0 ),60,Subtraction,Danny collects bottle caps and wrappers. He found <1> wrappers and <2> bottle caps at the park. Now he has <3> bottle caps and <4> wrappers in his collection. how many more wrappers than bottle caps did danny find at the park?,( <1> - <2> ),"['<1>', '<2>', '<3>', '<4>']","['65', '5', '31', '9']"
26,26,26,chal-27,Because of the decision Sofia asked the students to suggest specific types of food from a total of 66 choices. If 450 students suggested adding mashed potatoes 38 suggested adding bacon to the menu and the rest did not participate,How many students participated in the suggestion of new food items?,( 450.0 + 38.0 ),488,Addition,Because of the decision Sofia asked the students to suggest specific types of food from a total of <1> choices. If <2> students suggested adding mashed potatoes <3> suggested adding bacon to the menu and the rest did not participate how many students participated in the suggestion of new food items?,( <2> + <3> ),"['<1>', '<2>', '<3>']","['66', '450', '38']"
27,27,27,chal-28,Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initially,How many crackers and cakes did each person eat?,( ( 13.0 + 15.0 ) / 28.0 ),1,Common-Division,Matthew gave equal numbers of crackers and cakes to his <1> friends. If he had <2> crackers and <3> cakes initially how many crackers and cakes did each person eat?,( ( <2> + <3> ) / <1> ),"['<1>', '<2>', '<3>']","['28', '13', '15']"
28,28,28,chal-29,"A grocery store had 49 bottles of regular soda, 40 bottles of diet soda and 6 bottles of lite soda.",How many bottles of regular soda and diet soda did they have altogether?,( 40.0 + 49.0 ),89,Addition,"A grocery store had <1> bottles of regular soda, <2> bottles of diet soda and <3> bottles of lite soda. how many bottles of regular soda and diet soda did they have altogether?",( <2> + <1> ),"['<1>', '<2>', '<3>']","['49', '40', '6']"
29,29,29,chal-30,"Dan has $ 3. He bought 2 candy bar for $ 4, each one costing the same amount of money.",How much did each candy bar cost?,( 4.0 / 2.0 ),2,Common-Division,"Dan has $ <1>. He bought <2> candy bar for $ <3>, each one costing the same amount of money. how much did each candy bar cost?",( <3> / <2> ),"['<1>', '<2>', '<3>']","['3', '2', '4']"
30,30,30,chal-31,Tiffany was collecting cans for recycling. On monday she had 7 bags of cans. The next day she found 12 more bags worth of cans.,How many more bags did she find on the next day than she had on monday?,( 12.0 - 7.0 ),5,Subtraction,Tiffany was collecting cans for recycling. On monday she had <1> bags of cans. The next day she found <2> more bags worth of cans. how many more bags did she find on the next day than she had on monday?,( <2> - <1> ),"['<1>', '<2>']","['7', '12']"
31,31,31,chal-32,There were 15 roses and 62 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 17 roses and 96 orchids in the vase.,How many roses did she cut?,( 17.0 - 15.0 ),2,Subtraction,There were <1> roses and <2> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <3> roses and <4> orchids in the vase. how many roses did she cut?,( <3> - <1> ),"['<1>', '<2>', '<3>', '<4>']","['15', '62', '17', '96']"
32,32,32,chal-33,There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets,How many baskets of peaches are there?,( 7.0 / ( 4.0 + 3.0 ) ),1,Common-Division,There are some baskets of peaches. Each basket has <1> red peaches and <2> green peaches. If there are a total of <3> peaches in all baskets how many baskets of peaches are there?,( <3> / ( <1> + <2> ) ),"['<1>', '<2>', '<3>']","['4', '3', '7']"
33,33,33,chal-34,There were 78 dollars in Olivia's wallet. She spent 15 dollars at a supermarket.,How much money does she have left?,( 78.0 - 15.0 ),63,Subtraction,There were <1> dollars in Olivia's wallet. She spent <2> dollars at a supermarket. how much money does she have left?,( <1> - <2> ),"['<1>', '<2>']","['78', '15']"
34,34,34,chal-35,"Jack received 6 emails in the morning, 3 emails in the afternoon and some more in the evening. If he received a total of 10 emails in the day",How many emails did Jack receive in the afternoon?,( 10.0 - ( 6.0 + 3.0 ) ),1,Subtraction,"Jack received <1> emails in the morning, <2> emails in the afternoon and some more in the evening. If he received a total of <3> emails in the day how many emails did jack receive in the afternoon?",( <3> - ( <1> + <2> ) ),"['<1>', '<2>', '<3>']","['6', '3', '10']"
35,35,35,chal-36,Dan has $ 4. He bought a candy bar for $ 8. Then his friend have him $ 5,How much money is left?,( ( 4.0 - 8.0 ) + 5.0 ),1,Addition,Dan has $ <1>. He bought a candy bar for $ <2>. Then his friend have him $ <3> how much money is left?,( ( <1> - <2> ) + <3> ),"['<1>', '<2>', '<3>']","['4', '8', '5']"
36,36,36,chal-37,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 703 visitors came to the Buckingham palace on the previous day. If there were 246 visitors on that day",How many visited the Buckingham palace within 25 days?,( 246.0 + 703.0 ),949,Addition,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that <1> visitors came to the Buckingham palace on the previous day. If there were <2> visitors on that day how many visited the buckingham palace within <3> days?",( <2> + <1> ),"['<1>', '<2>', '<3>']","['703', '246', '25']"
37,37,37,chal-38,For Gwen's birthday she received 5 dollars from her dad. Her mom gave her 7 more dollars. If she spent 4 dollars.,How much more money did she receive from her mom than she did from her dad?,( 7.0 - 5.0 ),2,Subtraction,For Gwen's birthday she received <1> dollars from her dad. Her mom gave her <2> more dollars. If she spent <3> dollars. how much more money did she receive from her mom than she did from her dad?,( <2> - <1> ),"['<1>', '<2>', '<3>']","['5', '7', '4']"
38,38,38,chal-39,There are 142 bananas and 356 oranges in Philip's collection. If the bananas are organized into 47 groups and oranges are organized into 178 groups,How big is each group of oranges?,( 356.0 / 178.0 ),2,Common-Division,There are <1> bananas and <2> oranges in Philip's collection. If the bananas are organized into <3> groups and oranges are organized into <4> groups how big is each group of oranges?,( <2> / <4> ),"['<1>', '<2>', '<3>', '<4>']","['142', '356', '47', '178']"
39,39,39,chal-40,There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books,How many more movies than books have you read?,( 19.0 - 16.0 ),3,Subtraction,There are <1> different books and <2> different movies in the ' crazy silly school ' series. If you read <3> of the movies and watched <4> of the books how many more movies than books have you read?,( <3> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['8', '5', '19', '16']"
40,40,40,chal-41,Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour,How many cups of flour did she put in?,( 12.0 - 2.0 ),10,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of flour and <<3>> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour how many cups of flour did she put in?,( <1> - <3> ),"['<1>', '<2>', '<3>']","['12', '5', '2']"
41,41,41,chal-42,Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection.,How many more bottle caps than wrappers did danny find at the park?,( 50.0 - 46.0 ),4,Subtraction,Danny collects bottle caps and wrappers. He found <1> wrappers and <2> bottle caps at the park. Now he has <3> bottle caps and <4> wrappers in his collection. how many more bottle caps than wrappers did danny find at the park?,( <2> - <1> ),"['<1>', '<2>', '<3>', '<4>']","['46', '50', '21', '52']"
42,42,42,chal-43,Luke played 177 rounds of a trivia game. If he gained 46 points in each round,How many points did he score in the game?,( 177.0 * 46.0 ),8142,Multiplication,Luke played <1> rounds of a trivia game. If he gained <2> points in each round how many points did he score in the game?,( <1> * <2> ),"['<1>', '<2>']","['177', '46']"
43,43,43,chal-44,3 birds and 4 storks were sitting on the fence. 2 more birds came to join them.,How many more birds than storks are sitting on the fence?,( ( 3.0 + 2.0 ) - 4.0 ),1,Subtraction,<1> birds and <<3>> storks were sitting on the fence. 2 more birds came to join them. how many more birds than storks are sitting on the fence?,( ( <1> + <3> ) - <2> ),"['<1>', '<2>', '<3>']","['3', '4', '2']"
44,44,44,chal-45,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper.",How far did the mouse jump?,( ( 9.0 + 33.0 ) - 3.0 ),39,Subtraction,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped <1> inches. The mouse jumped <2> inches lesser than the frog who jumped <3> inches farther than the grasshopper. how far did the mouse jump?",( ( <1> + <2>0 ) - 3.0 ),"['<1>', '<2>', '<3>']","['9', '3', '33']"
45,45,45,chal-46,Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary.,How many more push-ups than crunches did Zachary do?,( 35.0 - 3.0 ),32,Subtraction,Zachary did <1> push-ups and <2> crunches in gym class today. David did <3> more push-ups but <4> less crunches than zachary. how many more push-ups than crunches did zachary do?,( <1> - <2> ),"['<1>', '<2>', '<3>', '<4>']","['35', '3', '58', '87']"
46,46,46,chal-47,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening.",How many emails did Jack receive in the afternoon and evening?,( 5.0 + 8.0 ),13,Addition,"Jack received <1> emails in the morning, <2> emails in the afternoon and <3> emails in the evening. how many emails did jack receive in the afternoon and evening?",( <2> + <3> ),"['<1>', '<2>', '<3>']","['4', '5', '8']"
47,47,47,chal-48,Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now,How many action figures did he add to the shelf?,( ( 8.0 + 10.0 ) - 7.0 ),11,Subtraction,Jerry had <1> action figures on a shelf in his room. Later he added some more action figures to the shelf and removed <2> of the old ones. If there are <3> action figures on his shelf now how many action figures did he add to the shelf?,( ( <3> + <2> ) - <1> ),"['<1>', '<2>', '<3>']","['7', '10', '8']"
48,48,48,chal-49,Julia played tag with 12 kids on monday. She played tag with 14 kids on tuesday. She spent a total of 34 hours to play tag on both days.,How many kids did she play with altogether?,( 12.0 + 14.0 ),26,Addition,Julia played tag with <1> kids on monday. She played tag with <2> kids on tuesday. She spent a total of <3> hours to play tag on both days. how many kids did she play with altogether?,( <1> + <2> ),"['<1>', '<2>', '<3>']","['12', '14', '34']"
49,49,49,chal-50,Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left.,How many more baseball cards than Ace cards does Nell have?,( 415.0 - 149.0 ),266,Subtraction,Nell collects cards. She had <1> baseball cards and <2> Ace cards. She gave some of her cards to Jeff and now has <3> baseball cards and Ace cards left. how many more baseball cards than ace cards does nell have?,( <3> - 149.0 ),"['<1>', '<2>', '<3>']","['309', '356', '415']"
50,50,50,chal-51,"At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding",How many alligators were not hiding?,( 97.0 - 40.0 ),57,Subtraction,"At the zoo, a cage had <1> snakes and <2> alligators. If <3> alligators were hiding how many alligators were not hiding?",( <2> - <3> ),"['<1>', '<2>', '<3>']","['93', '97', '40']"
51,51,51,chal-52,You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' series,How many more do you still have to read?,( 14.0 - 8.0 ),6,Subtraction,You have read <1> books from the ' crazy silly school ' series. If there are a total of <2> different books in the ' crazy silly school ' series how many more do you still have to read?,( <2> - <1> ),"['<1>', '<2>']","['8', '14']"
52,52,52,chal-53,Emily is making bead necklaces for her 43 friends. She had 20 beads and she was able to make 5 necklaces.,How many beads did each necklace need?,( 20.0 / 5.0 ),4,Common-Division,Emily is making bead necklaces for her <1> friends. She had <2> beads and she was able to make <3> necklaces. how many beads did each necklace need?,( <2> / <3> ),"['<1>', '<2>', '<3>']","['43', '20', '5']"
53,53,53,chal-54,Frank put 11 pieces of candy in each bag. If he had 22 pieces of candy,How many bags would he have?,( 22.0 / 11.0 ),2,Common-Division,Frank put <1> pieces of candy in each bag. If he had <2> pieces of candy how many bags would he have?,( <2> / <1> ),"['<1>', '<2>']","['11', '22']"
