ID,Body,Question,Equation,Answer,Type
chal-1,Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack,How much do you have to pay to buy each pack?,( 76.0 - 25.0 ),51,Subtraction
chal-2,Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start,How much did the candy bar cost?,( 4.0 - 3.0 ),1,Subtraction
chal-3,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies.,How many salty cookies did Paco have left?,( 26.0 - 9.0 ),17,Subtraction
chal-4,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus.,How many children got off the bus at the bus stop?,( 43.0 - 21.0 ),22,Subtraction
chal-5,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus.,How many more children got on the bus than those that got off?,( 30.0 - 28.0 ),2,Subtraction
chal-6,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left.,How much more money did she collect at the atm than she spent at the supermarket?,( 49.0 - 3.0 ),46,Subtraction
chal-7,Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now,How many action figures did he have initially on the shelf?,( 10.0 - 7.0 ),3,Subtraction
chal-8,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies.,How many more cookies did he eat than those he gave to his friend?,( 18.0 - 9.0 ),9,Subtraction
chal-9,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour.,How many more cups of flour does she need to add?,( 10.0 - 6.0 ),4,Subtraction
chal-10,A waiter had some customers. After 9 customers left he still had 12 customers.,How many customers did he have at the start?,( 9.0 + 12.0 ),21,Addition
chal-11,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them.,How many more storks than birds are sitting on the fence?,( 6.0 - ( 3.0 + 2.0 ) ),1,Subtraction
chal-12,They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs,How many chairs do they have in the backyard?,( 11.0 * 13.0 ),143,Multiplication
chal-13,In a school there are 458 more girls than boys. If there are 692 girls,How many pupils are there in that school?,( ( 692.0 + 692.0 ) - 458.0 ),926,Subtraction
chal-14,After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet,How deep was the water?,( ( 4.0 + 13.0 ) * 15.0 ),255,Multiplication
chal-15,6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them.,How many birds are sitting on the fence?,( 6.0 + 4.0 ),10,Addition
chal-16,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco ' dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds.,How much did his dad's strawberries weigh now?,( ( 36.0 - 12.0 ) - 8.0 ),16,Subtraction
chal-17,In a school there are 697 girls and the rest are boys. If there are 228 more girls than boys,How many boys are there in that school?,( 697.0 - 228.0 ),469,Subtraction
chal-18,In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school.,How many girls are there in the school now?,( 732.0 + 682.0 ),1414,Addition
chal-19,Danny collects bottle caps and wrappers. He found 22 bottle caps and 30 wrappers at the park. Now he has 17 bottle caps and 57 wrappers in his collection.,How many wrappers did danny have at first?,( 57.0 - 30.0 ),27,Subtraction
chal-20,Paul got a box of 457 erasers and 617 crayons for his birthday. At the end of the school year he only had 523 crayons left while not having lost a single eraser.,How many more crayons than erasers did he have left?,( 523.0 - 457.0 ),66,Subtraction
chal-21,Baker made 121 cakes. He sold 105 of them and bought 170 new cakes.,How many cakes does baker still have?,( ( 121.0 - 105.0 ) + 170.0 ),186,Addition
chal-22,An industrial machine worked for 5 minutes. It can make 4 shirts a minute.,How many shirts did machine make?,( 4.0 * 5.0 ),20,Multiplication
chal-23,The bananas in Philip's collection are organized into groups of size 18. If there are a total of 180 bananas in Philip's banana collection,How many groups are there?,( 180.0 / 18.0 ),10,Common-Division
chal-24,There were some birds sitting on the fence. 4 more birds came to join them. If there are a total of 5 birds on the fence now,How many birds had been sitting on the fence at the start?,( 5.0 - 4.0 ),1,Subtraction
chal-25,Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf now,How many action figures did he remove from the shelf?,( ( 3.0 + 4.0 ) - 6.0 ),1,Subtraction
chal-26,Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection.,How many more wrappers than bottle caps did danny find at the park?,( 65.0 - 5.0 ),60,Subtraction
chal-27,Because of the decision Sofia asked the students to suggest specific types of food from a total of 66 choices. If 450 students suggested adding mashed potatoes 38 suggested adding bacon to the menu and the rest did not participate,How many students participated in the suggestion of new food items?,( 450.0 + 38.0 ),488,Addition
chal-28,Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initially,How many crackers and cakes did each person eat?,( ( 13.0 + 15.0 ) / 28.0 ),1,Common-Division
chal-29,"A grocery store had 49 bottles of regular soda, 40 bottles of diet soda and 6 bottles of lite soda.",How many bottles of regular soda and diet soda did they have altogether?,( 40.0 + 49.0 ),89,Addition
chal-30,"Dan has $ 3. He bought 2 candy bar for $ 4, each one costing the same amount of money.",How much did each candy bar cost?,( 4.0 / 2.0 ),2,Common-Division
chal-31,Tiffany was collecting cans for recycling. On monday she had 7 bags of cans. The next day she found 12 more bags worth of cans.,How many more bags did she find on the next day than she had on monday?,( 12.0 - 7.0 ),5,Subtraction
chal-32,There were 15 roses and 62 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 17 roses and 96 orchids in the vase.,How many roses did she cut?,( 17.0 - 15.0 ),2,Subtraction
chal-33,There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets,How many baskets of peaches are there?,( 7.0 / ( 4.0 + 3.0 ) ),1,Common-Division
chal-34,There were 78 dollars in Olivia's wallet. She spent 15 dollars at a supermarket.,How much money does she have left?,( 78.0 - 15.0 ),63,Subtraction
chal-35,"Jack received 6 emails in the morning, 3 emails in the afternoon and some more in the evening. If he received a total of 10 emails in the day",How many emails did Jack receive in the afternoon?,( 10.0 - ( 6.0 + 3.0 ) ),1,Subtraction
chal-36,Dan has $ 4. He bought a candy bar for $ 8. Then his friend have him $ 5,How much money is left?,( ( 4.0 - 8.0 ) + 5.0 ),1,Addition
chal-37,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 703 visitors came to the Buckingham palace on the previous day. If there were 246 visitors on that day",How many visited the Buckingham palace within 25 days?,( 246.0 + 703.0 ),949,Addition
chal-38,For Gwen's birthday she received 5 dollars from her dad. Her mom gave her 7 more dollars. If she spent 4 dollars.,How much more money did she receive from her mom than she did from her dad?,( 7.0 - 5.0 ),2,Subtraction
chal-39,There are 142 bananas and 356 oranges in Philip's collection. If the bananas are organized into 47 groups and oranges are organized into 178 groups,How big is each group of oranges?,( 356.0 / 178.0 ),2,Common-Division
