,Question,Equation
0,Each pack of dvds costs w dollars. If there is a discount of x dollars on each pack How much do you have to pay to buy each pack?,( w - x )
1,Dan had $ w left with him after he bought a candy bar. If he had $ x at the start How much did the candy bar cost?,( x - w )
2,Paco had w salty cookies and x sweet cookies. He ate y sweet cookies and z salty cookies. How many salty cookies did Paco have left?,( w - z )
3,w children were riding on the bus. At the bus stop some children got off the bus. Then there were x children left on the bus. How many children got off the bus at the bus stop?,( w - x )
4,w children were riding on the bus. At the bus stop x children got on the bus while some got off the bus. Then there were y children altogether on the bus. How many more children got on the bus than those that got off?,( y - w )
5,There were w dollars in Olivia's wallet. She collected x more dollars from an atm. After she visited a supermarket there were x dollars left. How much more money did she collect at the atm than she spent at the supermarket?,( x - w )
6,Jerry had some action figures on a shelf in his room. Later he added w more action figures to the shelf. If there are a total of x action figures on his shelf now How many action figures did he have initially on the shelf?,( x - w )
7,Paco had w cookies. He gave x cookies to his friend and ate y cookies. How many more cookies did he eat than those he gave to his friend?,( y - x )
8,Mary is baking a cake. The recipe calls for w cups of sugar x cups of flour and y cups of salt. She already put in z cups of flour. How many more cups of flour does she need to add?,( x - z )
9,A waiter had some customers. After w customers left he still had x customers. How many customers did he have at the start?,( w + x )
10,w birds were sitting on the fence. x more storks and y more birds came to join them. How many more storks than birds are sitting on the fence?,( x - ( w + y ) )
11,They decided to hold the party in their backyard. If they have w sets of tables and each set has x chairs How many chairs do they have in the backyard?,( w * x )
12,In a school there are w more girls than boys. If there are x girls How many pupils are there in that school?,( ( x + <x) - w )
13,After resting they decided to go for a swim. The depth of the water is w times Dean's height. Dean is x feet taller than Ron. If Ron stands at y feet How deep was the water?,( ( x + y ) * w )
14,w birds were sitting on the fence. x more birds and y more storks came to join them. How many birds are sitting on the fence?,( w + x )
15,Marco and his dad went strawberry picking. Together they collected strawberries that weighed w pounds. On the way back Marco ' dad lost x pounds of strawberries. Marco's strawberries now weighed y pounds. How much did his dad's strawberries weigh now?,( ( w - y ) - x )
16,In a school there are w girls and the rest are boys. If there are x more girls than boys How many boys are there in that school?,( w - x )
17,In a school there are w girls and x boys. y more girls and z more boys joined the school. How many girls are there in the school now?,( w + y )
