,Unnamed: 0,Symbolic With Steps,Symbolic Without Steps,Symbolic With Intermediate Variables,Numerical With Steps,Numerical Without Steps,Numerical With Intermediate Variables,Symbolic Answers,Numerical Answers,Numerical Equations,Symbolic Answer,Numerical Answer,Numerical Equation
0,0,"
The discount is x dollars on each pack. 

This means that for each pack, you pay w - x dollars. 

So the total cost of buying each pack is (w - x) * p, where p is the number of packs you're buying.", - x,"We know that each pack of DVDs costs w dollars. Let's introduce a variable p which will stand for the price of one pack of DVDs with the discount.

We also know that there is a discount of x dollars on each pack. So, the final price of each pack is equal to the original price minus the discount:

p = w - x.

Now we can substitute the value of p into the original equation and solve it for w:

w = p + x.

As a result, we have

w = (w - x) + x = p + x.","n the beginning, you don't have any packs, so you can't buy any. You have to open some to get cards to trade or sell for gold, which you can then use to buy packs.",ach pack costs $2.99.,"We need to find out how much money we need to spend on buying all the packs, so we need to calculate the total number of packs first. Each person buys a different number of packs, so we need to find out how many packs each person buys and then sum up these values.

We know that each person buys a different number of packs, so we need to find out how many packs each person buys and then sum up these values.

We also know that:

Person A buys 2 packs;
Person B buys 4 packs;
Person C buys 6 packs.

Therefore, the total number of packs that need to be bought is:

2 + 4 + 6 = 12.

Now that we know how many packs need to be bought in total, we can calculate the cost. We know that each pack costs $5, so the total cost will be:

12 * 5 = 60.

Therefore, the total amount of money that needs to be spent on buying all the packs is $60.",( w - x ),51.0,( 76.0 - 25.0 ),( y - w ),66,( 523.0 - 457.0 )
1,1,"
Dan had $w left with him after he bought a candy bar. This means that he started with $w+x, and then he spent some of that money on the candy bar. So we can say that:

$w+x - \text{cost of candy bar} = w$

We can solve this equation for the cost of the candy bar:

$\text{cost of candy bar} = w+x-w = x$",The candy bar cost $x - $w.,"$w$ - money left after buying a candy bar
$x$ - money at the start
$y$ - cost of a candy bar

$x - y = w$
$x - w = y$

$y = x - w$","We can see that the store is selling the candy bars for $1.00 each. If we want to find out how much it would cost to buy two candy bars, we would need to multiply $1.00 by 2.

This means that it would cost $2.00 to buy two candy bars from the store.",The candy bar cost $1.,"Let's say the price of the candy bar is $x.

The price of the candy bar plus the sales tax is $1.18.

$x + $0.18 = $1.18

$x = $1",( x - w ),1.0,( 4.0 - 3.0 ),( y - w ),66,( 523.0 - 457.0 )
2,2,"
We are told that Paco had w salty cookies and x sweet cookies. He ate y sweet cookies and z salty cookies. The question is asking how many salty cookies Paco had left. 

We can set up an equation to solve this problem. 

w + x = the total number of cookies Paco had
y + z = the total number of cookies Paco ate

If we subtract y + z from both sides of the equation, we get: 

w + x - y - z = the total number of cookies Paco had - the total number of cookies Paco ate 

w + x - y - z = the number of cookies Paco had left

Therefore, the answer to the question is w + x - y - z.",Paco had w salty cookies and x sweet cookies. He ate y sweet cookies and z salty cookies. Which means he had w-z salty cookies left.,"et's denote the number of salty cookies that Paco had at the beginning as s, the number of sweet cookies that Paco had at the beginning as c, the number of sweet cookies that Paco ate as y, the number of salty cookies that Paco ate as z. Then we have the following system of equations:

s+c=w+x
y+z=x+s
s-z=?

solve the system:

s+c=w+x
s+y=x+z
s=w+x-c-y+z
s=w+x-(w+x-s-y)-y+z
s=s
s=w+x-c-y+z","
Paco started with 10 cookies. 
He ate 4 cookies, so he has 6 cookies left. 
He gave 2 cookies away, so he has 4 cookies left. 
He ate 1 more cookie, so he has 3 cookies left. 

Paco has 3 salty cookies left.",Paco had four salty cookies left.,"
Let's say that Paco had x salty cookies to begin with. 

Then he ate y of them. 

That leaves him with x-y cookies. 

Now we need to figure out how many y is. We are given that y is 2/3 of x. 

That means y/x = 2/3. Cross multiply to get 3y = 2x. 

That means y = 2/3x. 

Now we can plug this value of y into our original equation: x-y = x-2/3x. 

Simplify to get x/3 = x-2x/3. 

Add 2x/3 to both sides to get 5x/3 = x. 

Divide both sides by 5/3 to get x = 3. 

That means that Paco had 3 salty cookies to begin with and he ate 2 of them.",( w - z ),17.0,( 26.0 - 9.0 ),( y - w ),66,( 523.0 - 457.0 )
3,3,"
There were w children on the bus to begin with. 

Then, at the bus stop, some children got off the bus. 

That means that the number of children on the bus decreased. 

After the children got off the bus, there were x children left on the bus. 

That means that x is less than w. 

To find out how many children got off the bus, we need to find out the difference between w and x. 

w - x = the number of children who got off the bus", - x,"There were w children on the bus at the start. Then, some children got off the bus at the bus stop, so there are now x children left on the bus.

We can say that x = w - y, where y is the number of children who got off the bus.

We want to solve for y, so we can rearrange the equation to get:

y = w - x

So, the number of children who got off the bus at the bus stop is equal to the initial number of children on the bus, minus the number of children who are left on the bus.","
There are children on the bus. 
The bus stops. 
The children get off the bus. 

So, the number of children who got off the bus is the same as the number of children who were on the bus.",There is no way to determine how many children got off the bus at the bus stop from the information given.,"Let's say there are c children on the bus. Then,

3c + 4 = 22

c = (22 - 4) / 3

c = 6",( w - x ),22.0,( 43.0 - 21.0 ),( y - w ),66,( 523.0 - 457.0 )
4,4,"
There were w children riding on the bus to start. 

Then, x children got on the bus while some got off the bus. This means that the number of children on the bus increased by x. 

Now, there are y children altogether on the bus. 

To find out how many more children got on the bus than those that got off, we need to compare y to w. y is larger, which means that more children got on the bus than those that got off.","There were w + x children on the bus altogether, and w children got off the bus, so there must have been x more children that got on the bus than those that got off.","There were w children on the bus at the start.

x children got on the bus.

y = w + x children were on the bus in total.

Some children got off the bus. Let's call the number of these children n.

y - n = w + x children remained on the bus.

We know that y children were on the bus in total. Therefore:

y = w + x

We also know that y - n children remained on the bus. Therefore:

y - n = w + x

We can solve these equations to find the values of n and x.

n + x = w + x

n = w

x = w

There were w children on the bus to start with. w children got on the bus. w children got off the bus. Therefore, w more children got on the bus than those that got off.","
First, we need to figure out how many children got on the bus. We can do this by looking at the equation: 

new passengers = old passengers + passengers getting on - passengers getting off 

There are 60 old passengers, and we know that the equation equals 84. So, we can set up the equation like this: 

60 + x - y = 84 

We also know that there are more passengers getting on the bus than passengers getting off. So, that means that x is going to be greater than y. We can represent this by saying that x - y is positive. 

Now, we can solve for x. 

60 + x - y = 84 
60 + x - y + y = 84 + y 
60 + x = 84 + y 
x = 84 + y - 60 
x = 24 + y 

Now, we need to figure out how many passengers got off the bus. We can do this by looking at the equation: 

new passengers = old passengers + passengers getting on - passengers getting off 

There are 60 old passengers, and we know that the equation equals 84. So, we can set",There is no way to determine how many more children got on the bus than those that got off without more information.,"
Let's call the number of children that got off the bus x. Then, the number of children that got on the bus is (x + 8). 

We know that the number of children that got on the bus is two times the number of children that got off the bus. Therefore, we write the following equation:

2 * (x + 8) = 2x + 16

We solve the equation for x and we get:

x = 8

Therefore, 8 more children got on the bus than those that got off.",( y - w ),2.0,( 30.0 - 28.0 ),( y - w ),66,( 523.0 - 457.0 )
5,5,"
Olivia's wallet had w dollars in it. 

She visited an ATM and collected x more dollars. 

This means that after she visited the ATM, she had w + x dollars. 

She then went to the supermarket, and spent some money. 

After she spent the money, she had x dollars left. 

This means that she spent w + x - x = w dollars at the supermarket. 

Now we can set up an equation. 

w + x - (w + x - x) = x 

w + x - w - x + x = x 

2x = x 

x = 0 

This means that Olivia spent the same amount of money at the supermarket as she collected from the ATM.","There were w + x dollars in Olivia's wallet after she collected money from the ATM. She then spent x dollars at the supermarket, leaving w dollars in her wallet. Therefore, she collected x more dollars at the ATM than she spent at the supermarket.","
First, we'll define the supermarket variable. Let's call it s. 

s = x

This means that the supermarket variable is equal to the x variable. 

Now, we'll define the atm variable. Let's call it a. 

a = w + x

This means that the atm variable is equal to the sum of the w and x variables. 

Now, we need to figure out how much more money Olivia collected at the atm than she spent at the supermarket. To do this, we'll take the atm variable and subtract the supermarket variable from it. 

a - s

a - s = (w + x) - x

a - s = w

This means that Olivia collected w more dollars at the atm than she spent at the supermarket.","f we start with what we know, we know that she withdrew $100 from the ATM and spent $75 at the supermarket. So we're looking for how much more money she collected than she spent. We can find that by subtracting what she spent ($75) from what she collected ($100). So she collected $25 more than she spent.",he collected $10 more than she spent at the supermarket.,"First, let's think about how much money she spent at the supermarket. She spent $x$ at the supermarket.

Now, let's think about how much money she got at the atm. She got $y$ at the atm.

We know that $x$ and $y$ are related by the equation:

$$y=x+100$$

Now, we can solve for $x$:

$$x=y-100$$

Now, we can plug this value of $x$ back into the equation for $y$:

$$y=(y-100)+100$$

Now, we can solve for $y$:

$$y=y$$

So, we see that $y=x$. In other words, she got the same amount of money at the atm as she spent at the supermarket.",( x - w ),46.0,( 49.0 - 3.0 ),( y - w ),66,( 523.0 - 457.0 )
6,6,"
Jerry had some action figures on a shelf. This is represented by the equation:

x + w = y

Later, he added more action figures to the shelf. This is represented by the equation:

y + z = t

Now, we have to figure out how many action figures Jerry had originally on the shelf. In order to do that, we have to solve for x. 

We can do this by using substitution. We'll start by solving for y in the first equation:

x + w = y

y = x + w

Now we'll plug this value of y into our second equation:

y + z = t

(x + w) + z = t

Now we can solve for x:

x + w + z = t

x = t - w - z",Jerry had x - w action figures on the shelf initially.,"Jerry had some action figures on a shelf in his room. Later he added w more action figures to the shelf. If there are a total of x action figures on his shelf now How many action figures did he have initially on the shelf?

Let's denote the number of action figures that Jerry had on the shelf initially by y.

Jerry had y action figures on a shelf in his room. Later he added w more action figures to the shelf. If there are a total of x action figures on his shelf now

y + w = x

So, we can say that

x - w = y

That is, the number of action figures that Jerry had on the shelf initially is equal to the current number of action figures on the shelf minus the number of action figures that he added later.","
First, we need to find out how many action figures the store had in total. We know that the store had 24 action figures in total, and that 8 of them were sold. This means that there were 16 action figures left in the store. 

Next, we need to find out how many action figures the boy had on his shelf. We know that the boy had 4 action figures on his shelf, and that he bought 3 action figures. This means that he had 1 action figure on his shelf originally.",There is no way to determine how many action figures the person had originally on the shelf.,"
Let's use $a$ to denote the number of action figures he had initially on the shelf. 

Now, we know that after he bought $6$ action figures, he had $2a+6$ action figures on the shelf. 

We also know that after he sold $5$ action figures, he had $2a-5$ action figures on the shelf. 

So, we can set up the following equation: 

$2a+6=2a-5$

$a=11$

Therefore, he had $11$ action figures initially on the shelf.",( x - w ),3.0,( 10.0 - 7.0 ),( y - w ),66,( 523.0 - 457.0 )
7,7,"
Paco had w cookies. He gave x cookies to his friend. This means that he has w - x cookies left. He ate y cookies, which means that he has w - x - y cookies left in total. 

We want to know how many more cookies he ate than those he gave to his friend. This means we want to know how many cookies his friend has. His friend has x cookies. 

Therefore, the answer is w - x - y - x, or w - 2x - y.", - (x + y),"Paco had w cookies. He gave x cookies to his friend and ate y cookies.

How many more cookies did he eat than those he gave to his friend?

We need to find the difference between the number of eaten cookies and the number of given cookies:

y - x = ?","
We know that he started with 10 cookies and ended with 3. That means that he ate 7 cookies. 

If we start with the premise that he gave away some cookies to his friend, we also know that his friend would have ended up with more cookies than he started with. 

That means that the difference between the number of cookies his friend had at the end, and the number of cookies his friend had at the beginning, would be less than the difference between the number of cookies he had at the end, and the number of cookies he had at the beginning. 

The difference between the number of cookies he had at the end, and the number of cookies he had at the beginning, is 7. So, the difference between the number of cookies his friend had at the end, and the number of cookies his friend had at the beginning, must be less than 7. 

We also know that his friend started with 2 cookies. 

That means that the number of cookies his friend had at the end must be greater than 2. 

The only way for the difference between the number of cookies his friend had at the end, and the number of cookies his friend had at the beginning, to be",He ate 12 more cookies than he gave to his friend.,"There are two people in the problem, so we will introduce two variables: $x$ will denote the number of cookies that the first person ate, and $y$ will denote the number of cookies that the second person ate. 

We are told that the first person ate $5$ more cookies than the second person. In symbols:

$$x = y + 5$$

We are also told that the first person gave away $4$ cookies to the second person. In symbols:

$$x - 4 = y$$

We can solve this system for $x$ and $y$. We will use substitution:

$$\begin{align*}
x &= y + 5\\
x - 4 &= y\\
\end{align*}$$

Subtracting the second equation from the first equation, we get:

$$x - (x - 4) = y + 5 - y$$

Cancelling out like terms, we get:

$$4 = 5$$

This is not true, so there is no solution to the system.",( y - x ),9.0,( 18.0 - 9.0 ),( y - w ),66,( 523.0 - 457.0 )
8,8,"
We are looking for the number of cups of flour that Mary needs to add. We are given that she has already put in z cups of flour. So we want to know w - z. 

We are also told that the recipe calls for w cups of sugar, x cups of flour, and y cups of salt. So w + x + y = the total number of cups in the recipe. 

We can set up an equation and solve for x: 

w + x + y = the total number of cups in the recipe

x = the total number of cups in the recipe - w - y

x = the total number of cups in the recipe - (w + y)

Now we have everything we need to solve for w - z: 

w - z = the total number of cups in the recipe - (w + y) - z

w - z = the total number of cups in the recipe - w - y - z

w - z = the total number of cups in the recipe - w - y - z

w - z = the total number of cups in the recipe - (w + y + z)

w - z",-z cups of flour.,"First, we need to find out how many cups of flour the recipe calls for in total. We can do this by adding w and x:

total_flour = w + x

Now we need to find out how much flour Mary has already put in. We know this is z cups:

flour_added = z

To find out how much flour Mary still needs to add, we need to subtract the flour she has already put in from the total amount of flour the recipe calls for:

flour_needed = total_flour - flour_added

Now we have all the information we need to answer the question. We just need to substitute the values into our equation and simplify:

flour_needed = (w + x) - z

flour_needed = w + x - z","he recipe calls for 2 1/2 cups of flour, and she has already added 1 1/2 cups. So she needs to add 2 more cups.","It appears that the recipe calls for 3 cups of flour, and the baker has only added 2 cups so far. Therefore, she will need to add 1 more cup of flour.","Let's say we have <code>x</code> cups of flour, <code>y</code> cups of sugar and <code>z</code> cups of butter. 
We have <code>4x + 2y + z = 18</code>.
Now we need to find <code>x</code> cups of flour to add. 
<code> 4x + 2y + z = 18
-4x - 4x       //subtract 4x from both sides
-----------
     2y + z = 2
</code>
Now we need to find <code>y</code> cups of sugar to add. 
<code> 2y + z = 2
-2y - 2y       //subtract 2y from both sides
-----------
    z - z       //subtract z from both sides
-----------
          z=0
</code>
Therefore, <code>z</code> should be equal to <code>0</code>, <code>y</code> should be equal to <code>1</code> and <code>x</code> should be equal to <code>1</code>.
",( x - z ),4.0,( 10.0 - 6.0 ),( y - w ),66,( 523.0 - 457.0 )
9,9,"
The waiter had w customers leave. This means that at some point he had w + x customers. 

We also know that after w customers left, he still had x customers. Therefore, the equation would be:

w + x = x

This equation says that w = 0. 

This means that the waiter had 0 customers leave and x customers at the start.", + x,"First, let's think about how many customers the waiter had before any left. We'll call that number $C$.

$C$ customers left, so now the waiter has $C-w$ customers.

But we know that after $w$ customers left, the waiter still had $x$ customers. So:

$C-w=x$

$C=x+w$

So the waiter had $x+w$ customers at the start.","At the start, he had 0 customers. Every day, he gained 2 new customers.

So on the first day, he had 0 customers. On the second day, he had 2 customers. On the third day, he had 4 customers. And so on.",There is not enough information provided to answer this question.,"The number of customers at the start is $x$. The number of customers at the end of the first week is $x-4$. The number of customers at the end of the second week is $x-4-3=x-7$. The number of customers at the end of the third week is $x-7-2=x-9$. Finally, the number of customers at the end of the fourth week is $x-9-1=x-10$.

Thus, we have the equation $x-10=0$, from which it follows that $x=10$.",( w + x ),21.0,( 9.0 + 12.0 ),( y - w ),66,( 523.0 - 457.0 )
