,With Steps,Without Steps,With Intermediate
0,2,2,2
1,4,4,4
2,112,112,112
3,15029,8651,8651
4,392,4,2
5,6,6,6
6,17,17,17
7,3,3,2
8,57,57,57
9,111,111,111
10,111,111,111
11,285,5700,5700
12,8,8,8
13,100,100,53
14,7,7,3
15,53,53,43
16,316,614,614
17,10,1,4
18,1.6,1.6,1.6
19,"4,140",4140,4140
20,13,13,8
21,308,308,308
22,52,52,52
23,20,94,56
24,403,146,41
25,174,168,174
26,2451,2574,w*y - x*y
27,5,5,5
28,52,32,52
29,18,18,18
30,15.,17,17
31,0,9,15
32,32,32,32
33,8,8,8
34,46,9,9
35,39,77,77
36,5,3,1
37,43,43,215*43 = 9235
38,12,27,18
39,39,39,39
40,12,16,20
41,120,120,120
42,3,3,2
43,96,96,96
44,90,90,90
45,12,12,12
46,23,"10,000",23
47,154,154,154
48,2,2,2
49,11,2,22
