,sQuestion,lSolutions,Template,lEquations,iIndex,Alignment,Equiv
0,"Juniors boat will go 15 miles per hour in still water . If he can go 12 miles downstream in the same amount of time as it takes to go 9 miles upstream , then what is the speed of the current .",[2.14285714286],['a * m + b * m = b * c - a * c'],['12*(15-x)=9*(15+x)'],397760,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 9.0, 'TokenId': 18}, {'coeff': 'b', 'SentenceId': 1, 'Value': 12.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 0, 'Value': 15.0, 'TokenId': 4}]",[]
1,A factory makes three-legged stools and four-legged stools . They use the same kind of seats and legs for each . The only difference is the number of holes they bore in the seats for the legs . The company has 161 seats and 566 legs .,"[83.0, 78.0]","['a * m + b * n = c', 'm + n = d']","['student+general=161', '3*student+4*general=566']",327651,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 6}, {'coeff': 'c', 'SentenceId': 3, 'Value': 566.0, 'TokenId': 6}, {'coeff': 'd', 'SentenceId': 3, 'Value': 161.0, 'TokenId': 3}]",[]
2,"a bank offers two checking plans . The anywhere plan charges 30 cents per check . Th Accucheck plan costs $ 1.12 a month , plus 22 cents per check . For what number of checks will the Accucheck plan costs less than the Anywhere plan ?",[14.0],['0.01 * a * m - 0.01 * b * m = c'],['(.01*30)*x=(.01*22)*x+1.12'],238992,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 30.0, 'TokenId': 4}, {'coeff': 'b', 'SentenceId': 2, 'Value': 22.0, 'TokenId': 10}, {'coeff': 'c', 'SentenceId': 2, 'Value': 1.12, 'TokenId': 5}]",[]
3,"The student-teacher ratio for Washington High was reported to be 27.5 to 1 . If there are 42 teachers , then how many students are there ?",[1155.0],['a * m = b * c'],['27.5*42=x*1'],40964,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 1.0, 'TokenId': 12}, {'coeff': 'b', 'SentenceId': 0, 'Value': 27.5, 'TokenId': 10}, {'coeff': 'c', 'SentenceId': 1, 'Value': 42.0, 'TokenId': 3}]",[]
4,"Mike 's age , decreased by the age of his 4 year-old sister , is 11 . Mike 's age , increased by his uncle 's age , is 53 . What age is mike 's uncle ?","[38.0, 15.0]","['m = a + b', 'm + n = c']","['y-4=11', 'y+x=53']",936363,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 10}, {'coeff': 'b', 'SentenceId': 0, 'Value': 11.0, 'TokenId': 15}, {'coeff': 'c', 'SentenceId': 1, 'Value': 53.0, 'TokenId': 12}]",[]
5,"A theater sells adult tickets for $ 8 and children 's tickets for $ 5 . If a total of $ 236 was taken in on sales of 34 total tickets , then how many adult tickets were sold ?","[12.0, 22.0]","['a * m + b * n = c', 'm + n = d']","['student+general=34', '8*student+5*general=236']",493569,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 8.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 14}, {'coeff': 'c', 'SentenceId': 1, 'Value': 236.0, 'TokenId': 5}, {'coeff': 'd', 'SentenceId': 1, 'Value': 34.0, 'TokenId': 12}]",[]
6,"Working alone , Ryan can dig a 10 ft by 10 ft hole in five hours . Castel can dig the same hole in six hours . How long would it take them if they worked together ?",[2.72727272727],['1 / a * m + 1 / b * m = 1'],['( 1 / 5 + 1 / 6 ) *x = 1'],368342,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 14}, {'coeff': 'b', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 7}]",[]
7,"The sum of the ages of a brother and sister is 27 . If four times the brother 's age is subtracted from three times the sister 's age , the difference is 11 .","[17.0, 10.0]","['a * m - b * n = c', 'n + m = d']","['3*x - 4*y = 11', 'y=(27-x)']",399675,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 10}, {'coeff': 'b', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 1}, {'coeff': 'c', 'SentenceId': 1, 'Value': 11.0, 'TokenId': 20}, {'coeff': 'd', 'SentenceId': 0, 'Value': 27.0, 'TokenId': 11}]",[]
8,the sum of a two-digit number is 9 . the number with the digits interchanged is 6 times the sum of the digits . find the original number,"[4.0, 5.0]","['10 * m + n - a * m - a * n = 0', 'm + n = b']","['smaller+larger=9', '10 * smaller + larger = 6 *( smaller + larger )']",684020,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 7}]",[]
9,The difference between two numbers is 36 . The sum of these numbers is 62 . Find the numbers .,"[13.0, 49.0]","['m + n = a', 'm - n = b']","['plane+tail_wind=62', 'plane-tail_wind=36']",424731,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 62.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 36.0, 'TokenId': 6}]",[]
