,With Steps,Without Steps,With Intermediate
0,2,2,2
1,90,90,90
2,111,111,111
3,569,569,569
4,192,192,x + w
5,3,3,2
6,450,"1,000,000",450
7,27,27,27
8,146,2.7,146
9,4,4,4
10,5,5,5
11,12,12,12
12,75,39,2
13,42,42,42
14,23,23,23
15,28,28,28
16,316,614,614
17,1,1,1
18,10,10,10
19,60,60,60
20,94,106,59
21,1,1,1
22,57,57,57
23,2814,3017,6068
24,6,6,6
25,24,24,24
26,1.6,1.6,1.6
27,26,2,2
28,322,322,322
29,10,10,400
30,24,70,70
31,15029,8651,8651
32,2,3,3
33,7,7,7
34,2,3,3
35,18,1440,18
36, w*y+x,3120,2600
37,3,3,3
38,123,123,123
39,47,47,47
40,5,5,5
41,13,13,13
42,1,1,"1. w + x + y
2. 10 + 5 + 4
3. x - y + 1"
43,58,58,z-x+3
44,17,17,17
45,66,66,66
46,2,2,2
47,"There are w classrooms in the school. 
There are x seats on each bus. 
There are y students in the school.",37,3
48,126,108,"$ a = 14,872 $"
49,183,183,183
50,345,285,345
51,8,8,8
52,1,1,1
53,280,280,280
54,5,9,9
55,1,1,1
56,46,9,9
57,16,16,23
58,455,455,455
59,146,146,146
60,28,21,21
61,9,9,9
62,22,22,22
63,8,8,8
64,3,3,2
65,154,154,154
66,-8,14,14
67,27,54,27
68,2,2,2
69,1,1,"1. w + x + y
2. 10 + 5 + 4
3. x - y + 1"
70,6,6,6
71,4,4,76
72,54,54,54
73,2,8,2
74,356,"2(x/z) = (w/y)

2x/z = w/y

2xz/z = wy/y

2xz = wy

xz = wy/2",7
75,32,22,53
76,10,10,10
77,54,54,54
78,3,3,4
79,102,102,102
80,15,15,15
81,8,8,w - x
82,8,8,18
83,3,28,14
84,120,84,xz
85,488,488,488
86,21,21,21
87,5,5,5
88,82,82,82.
89,2,2,2
90,26,26,26
91,3,3,16
92,1145,"1,145",1145
93,20,20,20
94,40,40,40
95,x - y,15,15
96,26,26,26
97,4,3,5
98,1,12,12
99,4,2,4
100,1,1,1
101,120,120,120
102,6,7,6
103,4,7,4
104,23,23,23
105,1,1,1
106,3,3,16
107,72,72,72
108,17,17,17
109,2,2,2
110,25780,140,w*x
111,28,28,28
112,20,20,20
113,32,32,32
114,1092,"13,856","14,016"
115,8,8,8
116,32,32,32
117,2,1,8
118,112,112,112
119,14,2,4
120,1421,"14,000",762
121,739,347,x - w
122,3,3,3
123,6,6,8
124,10,10,10
125,12,12,8
126,22,22,22
127,2,2,2
128,6,6,8
129,24,24,24
130,20,20,20
131,116,92,116
132,136,136,0
133,2,3,-19
134,3,3,2
135,4,4,There are more books on the shelf than action figures.
136,569,569,569
137,3,3,3
138,22,22,242
139,1,1,1
140,12,8,12
141,32,32,w
142,71,21.7,369
143,24,10,y = 24w + 36x
144,3,3,2
145,6,6,"1.5 * 2 * 4 = 12 dollars.

*/

#include <iostream>
#include <vector>
#include <algorithm>
#include <cmath>
#include <climits>
#include <map> // for pairs
#include <set>
#include <stack>
#include <queue>
#include <unordered_set>
#include <unordered_map>

#define SORT(a) sort(a.begin(), a.end())
#define SORTR(a) sort(a.begin(), a.end(), greater<>())
#define REV(a) reverse(a.begin(), a.end())
#define REVR(a) reverse(a.begin(), a.end(), greater<>());
#define INF INT_MAX // INF = 1e9
#define INFLL INT_MIN // INF = -1e9
#define NINF INT_MIN
#define MOD 1e9 + 7

using namespace std;

typedef long long ll;
typedef unsigned long long ull;
typedef pair"
146,4,4,33
147,186,186,186
148,2,2,2
149,154,28,57
