,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Answer
0,C) 22,C)22,C) 22,C) 22,C)22,C)22,C) 22,C)22,C) 22,C) 22,E)23
1,E) 5 and 3,B)1 and 5,D) 3 and 5,E) 5 and 3,B)1 and 5,E) 5 and 3,E) 5 and 3,B)1 and 5,B) 1 and 5,5 and 3,C)5 and 1
2,E) All of the above.,E)All of the above,E) All of the above,E) All of the above,C) I and III,C) I and III,E) All of the above,E) All of the above,E)All of the above,E) All of the above,B)I and II
3,C)$2150,C)$2150,C)$2150,C)$2150,C)$2150,C)$2150,C)$2150,C)$2150,C)$2150,C)$2150,A)$1600
4,C)26 seconds,C)26 seconds,C)26 seconds,C)26 seconds,D)12 seconds,C)26 seconds,C)26 seconds,C)26 seconds,C)26 seconds,B)27 seconds,E)8 seconds
5,C)10,C)10,C)10,C)10,C)10,C)10,C)10,C)10,C)10,C)10,A)8
6,C)− 3 ≤ x ≤ 3,B)− 4 ≤ x ≤ 3,C)− 3 ≤ x ≤ 3,C)− 3 ≤ x ≤ 3,C)− 3 ≤ x ≤ 3,C)− 3 ≤ x ≤ 3,C)− 3 ≤ x ≤ 3,C)− 3 ≤ x ≤ 3,C)− 3 ≤ x ≤ 3,C)− 3 ≤ x ≤ 3,A)− 3 ≤ x ≤ 4
7,E)10100,E)10100,E) 10100,E)10100,E) 10100,E) 10100,E) 10100,E)10100,E) 10100,E)10100,E)10100
8,D) 20,C) 17.5,C) 17.5,C)17.5,C)17.5,C)17.5,C)17.5,C) 17.5,C) 17.5,C) 17.5,B)20.5
9,C) 12,C)12,C) 12,C) 12,C)12,C) 12,C)12,C)12,C)12,C)12,C)12
10,A)$60.00,$60.00,$60.00,A)$60.00,A)$60.00,A)$60.00,A)A)$60.00,$60.00,$60.00,A)$60.00,A)A)$60.00
11,B) Rs. 1025,B) Rs. 1025,B) Rs. 1025,B) Rs. 1025,A) Rs. 1020.80,B) Rs. 1025,A)Rs. 1020.80,A)Rs. 1020.80,A)Rs. 1020.80,B) Rs. 1025,C)Rs. 1055
12,D)0,D)0,D)0,D)0,D)0,D)0,D)0,D)0,D)0,D)0,B)6
13,E) n^2 + 2n + 1,E)n^2 + 2n + 1,E)n^2 + 2n + 1,C)n^2 + 1,C) n^2 + 1,D) q + 2√q + 1,C)n^2 + 1,E) n^2 + 2n + 1,C) n^2 + 1,C) n^2 + 1,D)q + 2√q + 1
14,C)1120,B) 992,C)1120,C) 1120,D) 552,B) 992,C) 1120,A) 300,A) 300,B) 992,C)1120
15,C)5/2,C) 5/2,C)5/2,C)5/2,B)3/2,B)3/2,C)5/2,B)3/2,A)1/2,C)5/2,B)3/2
16,D)l/k,E)√(k/l),C)k^2/l^2,E)√(k/l),E)√(k/l),B)k^2/l,C)k^2/l^2,E)√(k/l),E)√(k/l),E)√(k/l),D)l/k
17,C) 40,C)40,C) 40,C)40,C)40,C)40,C)40,C)40,C)40,C)40,B)32
18,A)50,A) 50,A)50,A)50,A) 50,A)50,A)50,B)45,A)50,B)45,A)50
19,B)55 km,B)55 km,50 km,The person traveled 50 km.,50 km,C)52 km,The distance traveled is 50 km.,50 km,C) 52 km,50 km,E)50 km
20,B)26,B)26,B)26,B) 26,B)26,B)26,B)26,B) 26,B) 26,B)26,D)22
21,C) 6,C) 6,C)6,C) 6,C)6,C)6,C) 6,C)6,C) 6,C) 6,C)6
22,3,2,D)3,2,D) 3,3,D)3,D) 3,"The least value of x, so that 2x5475 is divisible by 9 is 3.",4,C)4
23,D)8√ 2π,D)8√ 2π,A)11√ 2π,E) 7√2π,B)10√ 2π,B)10√ 2π,D)8√ 2π,B)10√ 2π,B) 10√2π,B)10√ 2π,B)10√ 2π
24,B)10,It will take 10 months to fully repay the loan.,It will take 10 months to repay the loan.,It will take 10 months to fully repay the loan.,C)9,C)9,B)10,C) 9,C) 9,C) 9,A)9
25,D)II only,D) II only,D) II only,D) II only,D) II only,D) II only,D) II only,D) II only,D) II only,D) II only,"C)II,III only"
26,C)6,C) Q=6,C)6,C)6,C)6,C) 6,C) Q=6,C) 6,E) 12,C)6,A)Q=3
27,"The answer is D) $42,500.","B) $35,000","The average income of the other 40 customers is $35,000.",A) $32 500,"The average income of the other 40 customers is $37,500.","The average income of the other 40 customers is $32,500.",C) $37 500,"$42,500","$42,500","A) $32,500","A) $32,500"
28,C)1540,C)1540,C)1540,C)1540,C)1540,C)1540,C)1540,C) 1540,C)1540,C)1540,C)1540
29,C) 4,C)4,C)4,C)4,C)4,C)4,C)4,C)4,C) 4,C)4,A)1
30,C)10,C)10,There are 16 trees that can be planted.,C)10,C)10,"There are 148 feet in the road. Each tree takes up one square foot of sidewalk space, and there are to be 20 feet between each tree. There are 8 trees that can be planted.",C)10,C)10,C)10,C)10,A)8
31,C) 62,C)62,C)62,C) 62,C) 62,The difference in simple and compound interest on 2000 after three years at the rate of 10 percent per annum will be 160.,C) 62,C) 62,C)62,C) 62,C)62
32,D)21%,D)21%,C) 23%,D)21%,C)23%,C)23%,D)21%,D)21%,D)21%,C)23%,C)23%
33,C)17,C) 17,B)12,C) 17,C)17,B)12,C) 17,B) 12,C)17,C)17,C)17
34,D) II & III,D)II & III,D) II & III,D) II & III,D)II & III,D) II & III,"nly

E)II only","nly

E)II only",D) II & III,D) II & III,B)III
35,D)Rs.82000,B)Rs.48000,A)Rs.78000,B)Rs.48000,A) Rs. 78000,D)Rs.82000,D)Rs.82000,A)Rs.78000,B)Rs.48000,"D) Rs. 82,000",A)Rs.78000
36,C) 28,C)28,C)28,C)28,C)28,C)28,C)28,C)28,C)28,C)28,C)28
37,C) 90 min,D) 80 min,C) 90 min,C) 90 min,C) 90 min,C) 90 min,C) 90 min,C) 90 min,C) 90 min,C) 90 min,E)120 min
38,C) Tuesday,A) Monday,C) Tuesday,C) Tuesday,C)Tuesday,C) Tuesday,A)Monday,C) Tuesday,A) Monday,A) Monday,D)Thursday
39,D) 11,D) 11,D)11,D) 11,D) 11,D) 11,D) 11,D) 11,D) 11,D) 11,D)11
40,C)50 years,C)50 years,The father's present age is 45 years.,C) 50 years,B) 45 years,C)50 years,B)45 years,The father's present age is 55 years.,C)50 years,C)50 years,A)36 years
41,C) 35%,C) 35%,A) 32.5%,C)35%,C) 35%,C) 35%,C)35%,B) 112.5%,C) 35%,C) 35%,B)112.5%
42,B) 30,C)48,C)48,C)48,48,C)48,C)48,C)48,C)48,48,D)64
43,B)273268,D)273358,B)273268,D) 273358,D)273358,D)273358,D)273358,D)273358,D)273358,B)273268,A)273258
44,C) 2/5,3/5,B) 4/5,D) 3/5,C)2/5,B)4/5,The probability that the couple does not sit together is 4/5.,D) 3/5,B)4/5,C)2/5,D)3/5
45,D)199/245,D)199/245,D)199/245,D)199/245,C) 27/125,27/125,D)199/245,C) 27/125,C) 27/125,C) 27/125,D)199/245
46,C)2,C)2,C)2,C) 2,C)2,C)2,C)2,C) 2,C)2,C)2,A)0
47,D)32%,C)30%,D)32%,C)30%,D)32%,D)32%,D)32%,D)32%,D)32%,B)24%,B)24%
48,C) 1/2,D)2/3,C)1/2,2/7,D)2/3,D) 2/3,C)1/2,D) 2/3,D) 2/3,D)2/3,E)5/7
49,"f these

D)9261 cm3","f these

None of these","f these

The volume of the cube is B)9000 cm3","f these

C)9250 cm3","f these

C)9250 cm3","f these

D)9261 cm3","f these

D)9261 cm3","f the above

D)9261 cm3","f these

C)9250 cm3","f these

D)9261 cm3",D)9261 cm3
50,C)40,C)40,C)40,B)36,The man should sell 40 articles for $50 to incur a loss of 20%.,C)40,C)40,C)40,C)40,25,A)25
51,D)4:5,D) 4:5,D)4:5,D) 4:5,D)4:5,D)4:5,D)4:5,D)4:5,D)4:5,D)4:5,C)16:15
52,C)Rs. 55,C)Rs. 55,C) Rs. 55,C)Rs. 55,C) Rs. 55,C)Rs. 55,C) Rs. 55,C)Rs. 55,C)Rs. 55,C)Rs. 55,A)Rs. 45
53,C)92 Kmph,C)92 Kmph,C)92 Kmph,C)92 Kmph,D) 95 Kmph,C)92 Kmph,C) 92 Kmph,C) 92 Kmph,C) 92 Kmph,C) 92 Kmph,B)90 Kmph
54,B) 630,B)630,B) 630,B) 630,B) 630,B)630,B) 630,B) 630,B) 630,"The smallest number when increased by "" 1 "" is exactly divisible by 6,9,15,35,45 is: 630",D)629
